"No.","Rubro","Ejercicio","NOM_MUN","Inversión","Habitantes beneficiados","Obra"
"37","Vialidades Urbanas",2023,"Actopan",5719802.4,NA,"Rehabilitación asfáltica de circuito poniente del Fraccionamiento Guzmán Mayer; en el municipio de Actopan."
"38","Vialidades Urbanas",2022,"Actopan",996470.32,1209,"Reconstrucción de la calle Hidalgo; en la localidad de La Loma; municipio de Actopan"
"39","Vialidades Urbanas",2024,"Actopan",10674990.28,NA,"Construcción de pavimentación de concreto hidráulico en calle 5 de mayo; Col. Chapultepec; en el municipio de Actopan."
"40","Vialidades Urbanas",2024,"Actopan",4464364.4,NA,"Pavimentación hidráulica de calle Industrial Metal Mecánica; en el municipio de Actopan"
"41","Vialidades Urbanas",2023,"Actopan",2911884.2,NA,"Rehabilitación del pavimento asfáltico de calle; en la localidad de Pozo Grande en el municipio de Actopan"
"42","Vialidades Urbanas",2023,"Actopan",3297316.3,3034,"Pavimentación Asfáltica de Calle Principal San Isidro en la Localidad El Boxtha; en el Municipio de Actopan."
"43","Infraestructura Carretera",2023,"Actopan",3393876.5,32276,"Rehabilitación del Boulevard paso por Actopan; en el municipio de Actopan"
"44","Vivienda Asequible",2024,"Actopan",661904.06,NA,"Construcción de cuartos dormitorios en el municipio de Actopan"
"45","Espacios Públicos",2024,"Actopan",494795.03,32276,"Rehabilitación de CGI de Actopan"
"46","Vivienda Asequible",2024,"Agua Blanca de Iturbide",140575.91,4,"Construcción de cuartos dormitorios en el municipio de Agua Blanca de Iturbide"
"47","Infraestructura Carretera",2024,"Agua Blanca de Iturbide",7746081.48,2325,"Reconstrucción de la C.E. Agua Blanca-Zacualpa (Segunda etapa); en el municipio de Agua Blanca de Iturbide"
"48","Infraestructura Carretera",2023,"Agua Blanca de Iturbide",15618248.25,NA,"Reconstrucción de la C.E. Agua Blanca-Zacualpa; en el municipio de Agua Blanca"
"49","Infraestructura Carretera",2023,"Ajacuba",15856116.2,14299,"Reconstrucción de carpeta asfáltica de la C.E. Ajacuba - San Juan Tepa; municipio de Ajacuba"
"50","Vialidades Urbanas",2024,"Ajacuba",3939297.39,4558,"Construcción de pavimentación con concreto hidráulico en Calle Tlaloc; en la localidad de Santiago Tezontlale; Colonia Cuauhtémoc; municipio de Ajacuba."
"51","Vialidades Urbanas",2023,"Ajacuba",3142161.55,8254,"Pavimentación con concreto hidráulico en calle Julian Villagrán entre calle Zacatecas y calle Guelatao; colonia El Salitre; en el municipio de Ajacuba"
"52","Infraestructura Carretera",2025,"Ajacuba",25679733.25,NA,"Reconstrucción de la C.E. Tecamatl - Ajacuba; en el municipio de Ajacuba"
"53","Vivienda Asequible",2024,"Ajacuba",397142.43,12,"Construcción de cuartos dormitorios en el municipio de Ajacuba"
"54","Infraestructura Hídrica",2024,"Ajacuba",499288.123910292,0,"Actualización del proyecto ejecutivo para el saneamiento de los Ríos Tula y Salado; primera etapa"
"55","Infraestructura Hídrica",2024,"Ajacuba",3680423.35,1800,"Reposición de pozo para agua potable en la localidad de Vicente Guerrero; municipio de Ajacuba"
"56","Infraestructura Hídrica",2022,"Ajacuba",2472913.55,1800,"Construcción de sistema de agua potable en Vicente Guerrero; etapa cuatro de cuatro"
"57","Infraestructura Hídrica",2025,"Alfajayucan",18560000,NA,"Puesta en marcha del canal de interconexión entre la Presa El Yathé y la Presa Vicente Aguirre; en el municipio de Alfajayucan"
"58","Infraestructura Carretera",2024,"Alfajayucan",8900829.86,342,"Pavimentación asfáltica de 2 tramos de la C.M. Chilcuautla - Alfajayucan; en el municipio de Alfajayucan"
"59","Infraestructura Carretera",2023,"Alfajayucan",3800517.73,122,"Pavimentación asfáltica de camino El Madho; municipio de Alfajayucan"
"60","Infraestructura Hídrica",2023,"Alfajayucan",58960144.4,1794,"Construcción de obra de toma; línea de conducción del Canal de Interconexión de la Presa de Almacenamiento ""El Yathé"" al Canal Principal Vicente Aguirre del Km 0+046.26 al Km 0+623.30; en el municipio de Alfajayucan."
"61","Infraestructura Hídrica",2024,"Alfajayucan",101069235.73,1794,"Terminación de construcción del canal de interconexión en la presa el Yathé; Alfajayucan"
"62","Infraestructura Hídrica",2024,"Alfajayucan",1907617.96,801,"Perforación del Pozo Profundo en la localidad de San Francisco Sacachichilco; municipio de Alfajayucan; Hgo. (Perforación exploratoria)"
"63","Infraestructura Hídrica",2022,"Alfajayucan",3381883.09,280,"Construcción de pozo profundo para agua potable de la localidad de Cebolletas; Alfajayucan (Primera Etapa)"
"64","Infraestructura Hídrica",2023,"Alfajayucan",201051,1794,"Pago por Avalúo ante el Instituto de Administración y Avalúos de Bienes Nacionales (INDAABIN); de 12 afectados; por la liberación del derecho de vía para construir la línea de interconexión de las presas "" El Yathe-VicenteAguirre""; municipio de Alfajayucan; estado de Hidalgo."
"65","Infraestructura Carretera",2025,"Alfajayucan",14137493.01,NA,"Rehabilitación del camino Zundhó - Sifón - San Agustín; en el municipio de Alfajayucan"
"66","Infraestructura Hídrica",2025,"Alfajayucan",4100000,801,"Perforación del Pozo Profundo en la localidad de San Francisco Sacachichilco; municipio de Alfajayucan; Hgo. (Terminación)."
