"No.","Rubro","Ejercicio","NOM_MUN","Inversión","Habitantes beneficiados","Obra"
"341","Infraestructura Carretera",2023,"Huazalingo",2041670.5,124,"Rehabilitación del tramo E.C. (San Pedro - Huazalingo) - Tetlicuil; del km 0+000 al km 2+600; en el municipio de Huazalingo"
"342","Vialidades Urbanas",2023,"Huazalingo",2905277.97,329,"Construcción de pavimentación hidráulica acceso a la localidad de Tlatzonco"
"343","Infraestructura Hídrica",2022,"Huazalingo",2940289.92,NA,"Construcción de sanitario con biodigestor; en el municipio de Huazalingo"
"344","Infraestructura Carretera",2022,"Huazalingo",6475113.67,1766,"Construcción de Pavimentación hidráulica en la localidad de Chiatipan; municipio de Huazalingo"
"345","Espacios Públicos",2023,"Huazalingo",5245074.48,842,"Remodelación de Plaza Comunitaria."
"346","Infraestructura Carretera",2024,"Huazalingo",10091167.78,770,"Construcción de muro de contención en la localidad de San Pedro; en el municipio de Huazalingo."
"347","Infraestructura Carretera",2023,"Huazalingo",23832062.25,609,"Construcción de puente vehicular Cuamontax; municipio de Huazalingo."
"348","Vivienda Asequible",2022,"Huazalingo",690671.685139588,NA,"Construcción de 40 cuartos dormitorio en los municipios de San Felipe Orizatlán; Tepehuacán de Guerrero y Huazalingo"
"349","Infraestructura Carretera",2023,"Huazalingo",1798990.51,245,"Rehabilitación del tramo Tzapotitla - Tlatzonco del km 0+000 al km 2+300; en el municipio de Huazalingo"
"350","Infraestructura Carretera",2024,"Huazalingo",8273548.61,574,"Construcción de pavimentación de C.R. Tlaltzonco a Tzapotitla del km. 0.469 al km 1.269; municipio de Huazalingo"
"351","Vivienda Asequible",2022,"Huazalingo",3080084.47,NA,"Construcción de Cuarto Dormitorio; en el municipio de Huazalingo"
"352","Infraestructura Carretera",2023,"Huehuetla",51159475.34,NA,"Rehabilitación C.E. Santa María Temaxcalapa - Huehuetla; Subtramo del km 5+900 al km 10+000; en el municipio de Huehuetla"
"353","Espacios Públicos",2023,"Huehuetla",2424231.92,6559,"Habilitación de infraestructura para el manejo integral de los residuos sólidos urbanos del municipio de Huehuetla"
"354","Infraestructura Carretera",2024,"Huehuetla",1716294.18,867,"Construcción de muros de contención en la C.E. Huehuetla - San Ambrosio; municipio de Huehuetla"
"355","Espacios Públicos",2023,"Huehuetla",920293.66,16,"Rehabilitación en azoteas; fachadas y puertas del CRIRH; sede Huehuetla."
"356","Infraestructura Hídrica",2022,"Huehuetla",353423.715685062,NA,"Acciones de desinfección del agua: 379 filtro purificador microbiológico de agua para beber."
"357","Vivienda Asequible",2023,"Huehuetla",1279635.52,10,"Programa para la ampliación de  vivienda modalidad construcción de cuarto dormitorio en los municipios de Huehuetla"
"358","Infraestructura Carretera",2024,"Huehuetla",38720095,2993,"Rehabilitación de puente vehicular Mirasol; en el municipio de Huehuetla."
"359","Infraestructura Hídrica",2022,"Huehuetla",822540.07,48,"Construcción de sanitario con biodigestor; en el municipio de Huehuetla"
"360","Infraestructura Carretera",2025,"Huehuetla",40798440.04,NA,"Pavimentación de concreto hidráulico en camino San Gregorio - San Ambrosio; en la localidad de San Ambrosio; en el municipio de Huehuetla"
"361","Vivienda Asequible",2022,"Huehuetla",3013545.5,NA,"Construcción de Cuarto Dormitorio; en el municipio de Huehuetla"
"362","Infraestructura Carretera",2023,"Huejutla de Reyes",4309144.15,842,"Rehabilitación del tramo: Tetzahapa I-Temaxcaltitla-Coamila; del km cero al cinco punto cinco; en el municipio de Huejutla de Reyes."
"363","Infraestructura Carretera",2024,"Huejutla de Reyes",3748852.67,1203,"Reconstrucción de muro de contención en la C.E. Huejutla - Macuxtepetla; municipio de Huejutla de Reyes"
"364","Infraestructura Carretera",2023,"Huejutla de Reyes",12400149.33,892,"Construcción de pavimento de concreto hidráulico en camino Xiloco - Macuxtepetla en tramo 1 del km 0+000 al km 0+883.85 y tramo del km 0+000 al km 0+530.60; municipio de Huejutla de Reyes"
"365","Infraestructura Carretera",2024,"Huejutla de Reyes",13114679.28,913,"Rehabilitación de puente vehicular en la carretera Cececapa a La Corrala; en la localidad de Cececapa; municipio de Huejutla de Reyes"
"366","Infraestructura Carretera",2023,"Huejutla de Reyes",2352833.32,155,"Rehabilitación del tramo Tamalcuatitla - Tepehica; del km 0+000 al km 3+000; en el municipio de Huejutla de Reyes."
"367","Infraestructura Carretera",2024,"Huejutla de Reyes",14335853.28,196,"Rehabilitación de puente vado Achichípil; en la localidad de Achichípil; municipio de Huejutla de Reyes"
"368","Infraestructura Carretera",2024,"Huejutla de Reyes",2779379.89,215,"Rehabilitación del C.R. Tamalcuatitla - Apilol - Chalahuitzintla - Tlanepantla; municipio de Huejutla de Reyes"
"369","Infraestructura Carretera",2023,"Huejutla de Reyes",1567938.72,155,"Rehabilitación del tramo Pahuatzintla - Nepalapa; del km 0+000 al km 2+000; en el municipio de Huejutla de Reyes"
"370","Infraestructura Carretera",2023,"Huejutla de Reyes",1982986.39,303,"Rehabilitación del tramo Huehuetla - Atappa - Octatitla; del km 0+000 al km 2+500; en el municipio de Huejutla de Reyes."
"371","Espacios Públicos",2022,"Huejutla de Reyes",15393431.83,44311,"Casa de la Cultura Huasteca"
"372","Infraestructura Carretera",2024,"Huejutla de Reyes",9689109.94,297,"Construcción de pavimentación hidráulica del Camino Rural los Parajes a Chalahuiyapa segunda etapa; en el municipio de Huejutla de Reyes."
"373","Infraestructura Carretera",2023,"Huejutla de Reyes",8668792.28,542,"Pavimentación asfáltica del Camino Cruztitla; municipio de Huejutla de Reyes."
"374","Infraestructura Carretera",2023,"Huejutla de Reyes",1674376.62,642,"Mejoramiento de camino Huehuetla - Tilcalco - Las Nueces; municipio de Huejutla de Reyes"
"375","Espacios Públicos",2023,"Huejutla de Reyes",790324.82,44311,"Rehabilitación de Centro Gerontológico Integral de Huejutla."
"376","Vivienda Asequible",2023,"Huejutla de Reyes",1279684.89,10,"Programa para la ampliación de  vivienda modalidad construcción de cuarto dormitorio en el municipio de Huejutla de Reyes"
"377","Infraestructura Carretera",2022,"Huejutla de Reyes",13538926.8,1687,"Construcción de Pavimento Asfáltico del camino rural Otates - Cacateco; municipio de Huejutla de Reyes"
"378","Infraestructura Carretera",2024,"Huejutla de Reyes",12020495.87,2246,"Construcción de pavimentación de concreto hidráulico en acceso a la localidad de Pahuatlán; en el municipio de Huejutla de Reyes."
"379","Infraestructura Carretera",2023,"Huejutla de Reyes",14575391.13,1428,"Rehabilitación de carpeta asfáltica del tramo C.E. Chalahuiyapa - Los Otates del 0+000 al 3+800; en el municipio de Huejutla de Reyes"
"380","Espacios Públicos",2023,"Huejutla de Reyes",67722440,NA,"Fortalecimiento para la Atención de Niñas; Niños y Adolescentes Migrantes en el Municipio de Huejutla de Reyes Estado de Hidalgo; para la construcción del Albergue para niñez y adolescencia Migrante Acompañada y no Acompañada"
"381","Infraestructura Carretera",2023,"Huejutla de Reyes",9757411.25,11084,"Modernización del camino rural los Parajes - Chalahuiyapa; en el municipio de Huejutla de Reyes."
"382","Infraestructura Carretera",2023,"Huejutla de Reyes",7239786.11,1167,"Construye tu camino del tramo Santa Clara - Axcaco; en el municipio de Huejutla de Reyes."
"383","Infraestructura Carretera",2023,"Huejutla de Reyes",2746119.76,174,"Rehabilitación del tramo E.C. (Atlapexco-Huautla) - Xionaxtla; del km 0+000 al km 3+000; en el municipio de Huejutla."
"384","Infraestructura Carretera",2024,"Huejutla de Reyes",32569520.47,1573,"Rehabilitación de la carretera Huejutla a Santa Cruz; municipio de Huejutla de Reyes"
"385","Infraestructura Carretera",2024,"Huejutla de Reyes",13351754.18,3369,"Rehabilitación de la carretera de Mazaquilico a Coacuilco; municipio de Huejutla de Reyes"
"386","Infraestructura Carretera",2024,"Huejutla de Reyes",7747264,235,"Reconstrucción de la C.E. Libramiento Sur Huejutla - (E.C. Pachuca - Tempoal); municipio de Huejutla de Reyes"
"387","Infraestructura Carretera",2024,"Huejutla de Reyes",3722586.38,NA,"Construye Tu Camino del tramo Santa Clara a Axcaco; en el municipio de Huejutla de Reyes"
"388","Espacios Públicos",2023,"Huejutla de Reyes",788409.27,NA,"Rehabilitación de fachadas; cancelería; barda; y policarbonato del CRIRH; sede Huejutla de Reyes"
"389","Infraestructura Hídrica",2024,"Huejutla de Reyes",1567739.63,NA,"Construcción de sanitario con biodigestor en el municipio de Huejutla de Reyes"
"390","Espacios Públicos",2024,"Huejutla de Reyes",2427504.98,44311,"Construcción del nuevo Centro Gerontológico Integral de Huejutla de Reyes."
"391","Infraestructura Carretera",2024,"Huejutla de Reyes",16051741.62,NA,"Rehabilitación de la carretera Pachuca a Tempoal; paso por Huejutla; municipio de Huejutla de Reyes"
"392","Infraestructura Carretera",2023,"Huejutla de Reyes",2924919.21,526,"Mejoramiento del camino entronque carretero (Pachuca - Huejutla) - Tlalnepanco; municipio de Huejutla de Reyes"
"393","Infraestructura Carretera",2024,"Huejutla de Reyes",8475834.44,2051,"Reconstrucción de C.E. Xiquila - Huejutla; municipio de Huejutla de Reyes"
"394","Infraestructura Carretera",2022,"Huejutla de Reyes",20896857.14,3369,"Reconstrucción de la carretera estatal E.C.F. Pachuca - Tempoal - San José - Coacuilco; municipio de Huejutla de Reyes"
"395","Infraestructura Carretera",2024,"Huejutla de Reyes",4308296.43,0,"Estudio y proyecto para la solución en el crucero sobre la C.F. Pachuca - Tampico hacia el Boulevard Chalahuiyapa en el municipio de Huejutla de Reyes."
"396","Infraestructura Carretera",2024,"Huejutla de Reyes",9398436.7,3579,"Rehabilitación de camino E.C. de Tehuetlán a Huejutla a Ixcatépec; del Km 0.000 al Km 6.000; en el municipio de Huejutla de Reyes."
"397","Infraestructura Hídrica",2024,"Huejutla de Reyes",7737692.51,NA,"Estudio y proyecto para el encauzamiento y saneamiento del Río Chinguiñoso; en el municipio de Huejutla de Reyes"
"398","Espacios Públicos",2022,"Huejutla de Reyes",1193988.08,NA,"Mejoramiento de la Base de Operaciones de Huejutla; Hgo. de la Secretaría de Seguridad Pública"
"399","Infraestructura Carretera",2022,"Huejutla de Reyes",23331061.06,542,"Reconstrucción de la carretera estatal Santa Cruz - Huichapa - La Corrala; municipio de Huejutla de Reyes"
"400","Infraestructura Carretera",2024,"Huejutla de Reyes",3369621.53,413,"Reconstrucción de superficie de rodamiento del puente El Aguacate; municipio de Huejutla de Reyes"
"401","Vivienda Asequible",2022,"Huichapan",1334325.77,NA,"Construcción de Cuarto Dormitorio; en el municipio de Huichapan"
"402","Infraestructura Hídrica",2025,"Huichapan",6161136.36,1162,"Perforación de pozo profundo para agua potable localidad de Jonacapa"
"403","Infraestructura Carretera",2024,"Huichapan",46599999.89,9853,"Reconstrucción de la C.E. E.C.F. 45 Portezuelo - Palmillas a Tecozautla; en el municipio de Huichapan"
"404","Infraestructura Hídrica",2022,"Huichapan",3918165.88,866,"Construcción de sistema de alcantarillado sanitario y PTAR en Dongoteay etapa dos de cuatro"
"405","Infraestructura Carretera",2023,"Huichapan",19355489.37,9853,"Reconstrucción de la C.E. Saucillo - Nopala; en el municipio de Huichapan."
"406","Infraestructura Carretera",2023,"Huichapan",12168164.4,13399,"Reconstrucción de la carretera Huichapan - San José Atlán; en el municipio de Huichapan."
"407","Infraestructura Hídrica",2024,"Huichapan",6713093.43,866,"Construcción de sistema de alcantarillado sanitario y PTAR en Dongoteay. (Terminación)"
"408","Infraestructura Hídrica",2023,"Huichapan",3176175.03,866,"Construcción de sistema de alcantarillado sanitario y PTAR en Dongoteay etapa tres de cuatro; Huichapan"
"409","Infraestructura Carretera",2023,"Ixmiquilpan",12053633.88,445,"Modernización de camino Santa Ana-La Loma López Rayón y calle Cobre en Ixmiquilpan."
"410","Vivienda Asequible",2022,"Ixmiquilpan",4114818.24447988,NA,"Construcción de 50 cuartos dormitorio en los municipios de Ixmiquilpan; Chilcuautla y Santiago de Anaya"
"411","Infraestructura Carretera",2024,"Ixmiquilpan",517226.92,NA,"Construcción de pavimentación hidráulica en Quinta Cerrada; en el municipio de Ixmiquilpan."
"412","Infraestructura Hídrica",2024,"Ixmiquilpan",5585374.16,0,"Estudio y Proyecto de Red de alcantarillado Sanitario y Planta de tratamiento de Aguas Residuales en la localidad de El Taxtho"
"413","Infraestructura Hídrica",2023,"Ixmiquilpan",3639213.79,385,"Terminación de Pozo El Olivo"
"414","Espacios Públicos",2023,"Ixmiquilpan",1207522.15,1301,"Rehabilitación en azoteas y fachadas del CRIRH; sede Ixmiquilpan"
"415","Infraestructura Carretera",2023,"Ixmiquilpan",5913139.89,1600,"Construye Tu Camino del tramo San Andrés - El Olivo; en el municipio de Ixmiquilpan."
"416","Vialidades Urbanas",2023,"Ixmiquilpan",4844555.57,37608,"Construcción de pavimentación asfáltica; interconexión Los Pinos Panales - El Maye; en el municipio de Ixmiquilpan"
"417","Vialidades Urbanas",2023,"Ixmiquilpan",2160227.69,NA,"Construcción de pavimento hidráulico en calles de la localidad de El Oro; municipio de Ixmiquilpan"
"418","Infraestructura Hídrica",2022,"Ixmiquilpan",2958623.7,1639,"Construcción de sistema de agua potable Taxadho etapa cuatro de cinco"
"419","Espacios Públicos",2024,"Ixmiquilpan",1179860.35,37608,"Rehabilitación de CGI de Ixmiquilpan"
"420","Infraestructura Hídrica",2022,"Ixmiquilpan",2910037.63,2314,"Manejo sustentable del sistema de distribución de agua potable en la localidad de Maguey Blanco; municipio de Ixmiquilpan"
"421","Espacios Públicos",2024,"Ixmiquilpan",986077.35,1639,"Construcción de Corredor Artesanal ubicado en el lugar conocido como Bajada de Pastores ejido de Maguey Blanco; Municipio de Ixmiquilpan"
"422","Infraestructura Hídrica",2023,"Ixmiquilpan",10624130.95,NA,"Red de agua potable El Mirador; Jahuey y Huapilla Capula."
"423","Infraestructura Carretera",2024,"Ixmiquilpan",807116.47,NA,"Reconstrucción del acceso a la escuela secundaria libertadores de América; en el municipio de Ixmiquilpan"
"424","Vialidades Urbanas",2024,"Ixmiquilpan",1584150.4,NA,"Construcción de pavimentación de concreto hidráulico de Calle Gladiolas; Col. Loma de Oro; en el municipio de Ixmiquilpan."
"425","Infraestructura Carretera",2023,"Ixmiquilpan",4558957.98,4013,"Rehabilitación de carretera Ixmiquilpan - Capula; tramo del Km 0+400 al Km 2+100; en barrios San Miguel y El Nith; en el municipio de Ixmiquilpan"
"426","Infraestructura Hídrica",2022,"Ixmiquilpan",4455445.46,3742,"Construcción de sistema de agua potable en Panales; Ixmiquilpan; etapa tres de diez"
"427","Infraestructura Hídrica",2024,"Ixmiquilpan",4302762.12,3742,"Construcción de tomas domiciliarias del sistema de agua potable en Panales; Etapa cinco de diez; Ixmiquilpan."
"428","Espacios Públicos",2023,"Ixmiquilpan",2158704,NA,"Trabajos de Mantenimiento del Hospital General del Valle del Mezquital Ixmiquilpan Clues; HGSSA001590; Municipio de Ixmiquilpan."
"429","Vialidades Urbanas",2023,"Ixmiquilpan",2903285.92,1560,"Construcción de pavimentación asfáltica en el municipio de Ixmiquilpan; en la localidad de Pueblo Nuevo en calle Principal"
"430","Infraestructura Carretera",2025,"Ixmiquilpan",8200000,NA,"Pavimentación hidraulica a Jardín de las Flores; en la localidad de Pueblo Nuevo; en el municipio de Ixmiquilpan"
"431","Vialidades Urbanas",2023,"Ixmiquilpan",7556379.65,NA,"Rehabilitación de pavimento asfáltico en avenida Felipe Ángeles; colonia Centro; municipio de Ixmiquilpan"
"432","Infraestructura Hídrica",2025,"Ixmiquilpan",2443647.39,552,"Construcción de Sistema de Agua Potable en Ixmiquilpan; Localidad El Dexthi San Juanico (terminación)"
"433","Infraestructura Hídrica",2023,"Ixmiquilpan",3163134.89,1639,"Construcción de sistema de agua potable Taxadho etapa cinco de cinco; Ixmiquilpan"
"434","Infraestructura Carretera",2024,"Ixmiquilpan",13684964.79,2321,"Rehabilitación de pavimentación asfáltica de Circuito Dios Padre; en el municipio de Ixmiquilpan."
"435","Infraestructura Hídrica",2024,"Ixmiquilpan",6315235.54,541,"Construcción de Sistema de Agua Potable en Ixmiquilpan; Localidad El Dexthi San Juanico; Etapa uno de dos"
"436","Infraestructura Carretera",2025,"Ixmiquilpan",13527998.56,NA,"Reconstrucción de Camino “El Durazno-Los Martínez-La Palma-El DexthÍ” del Km 1+000 al Km 2+500; en la localidad de El Durazno; en el municipio de Ixmiquilpan"
"437","Infraestructura Carretera",2023,"Ixmiquilpan",27009792.9,NA,"Rehabilitación de la carretera paso por Ixmiquilpan."
"438","Vialidades Urbanas",2025,"Ixmiquilpan",7350000,NA,"Construcción de Pavimentación Hidraúlica (Varias Calles); en la localidad de El Mandho; en el municpio de Ixmiquilpan"
"439","Espacios Públicos",2024,"Ixmiquilpan",3993649.59,NA,"Estudio y proyecto para la reconstrucción del auditorio de la unidad deportiva del municipio de Ixmiquilpan."
"440","Espacios Públicos",2024,"Ixmiquilpan",3145032.54,NA,"Remodelación de las Instalaciones de la Estación de Radio y Televisión XHCPDX 96.5 FM en el municipio de Ixmiquilpan"
"441","Infraestructura Hídrica",2025,"Ixmiquilpan",6600000,3742,"Construcción de sistema de agua potable en Panales; Etapa seis de diez; Ixmiquilpan."
"442","Infraestructura Carretera",2023,"Ixmiquilpan",10498827.5,827,"Pavimentación asfáltica del Libramiento Oriente - La Loma de La Cruz- Universidad; municipio de Ixmiquilpan (segunda etapa)"
"443","Infraestructura Carretera",2023,"Ixmiquilpan",2711790.63,NA,"Pavimentación asfáltica del Libramiento Oriente - La Loma de La Cruz - Universidad; municipio de Ixmiquilpan"
"444","Infraestructura Hídrica",2024,"Ixmiquilpan",494190.08,474,"Construcción de obra de drenaje y obra complementaria del sistema de agua potable en Cuesta Colorada; municipio de Ixmiquilpan."
"445","Infraestructura Hídrica",2024,"Ixmiquilpan",3031862.8,NA,"Sustitución de la línea de conducción de tanque superficial; en la localidad de La Palma San Juanico; etapa uno de dos"
"446","Vialidades Urbanas",2023,"Ixmiquilpan",2131291.33,798,"Pavimentación asfáltica de la calle 15 de Septiembre; en la localidad de Remedios; Ixmiquilpan."
"447","Espacios Públicos",2024,"Ixmiquilpan",1403687.94,NA,"Remodelación de parque; beneficiando a la localidad de Ixmiquilpan; municipio de Ixmiquilpan"
"448","Vivienda Asequible",2022,"Ixmiquilpan",1427438.31,NA,"Construcción de cuarto dormitorio; en el municipio de Ixmiquilpan"
"449","Vialidades Urbanas",2024,"Ixmiquilpan",1699107.4,NA,"Construcción de pavimentación de concreto hidráulico; Calle 16 de Enero; B. San Miguel; en el municipio de Ixmiquilpan."
"450","Espacios Públicos",2024,"Ixmiquilpan",26632876.95,NA,"Rehabilitación de la Unidad Deportiva de Ixmiquilpan."
"451","Vivienda Asequible",2023,"Ixmiquilpan",4606395.38,NA,"Construcción de 36 cuartos dormitorio en el municipio de Ixmiquilpan y Santiago de Anaya"
"452","Vivienda Asequible",2024,"Ixmiquilpan",1058251.2,NA,"Construcción de cuartos dormitorios en el municipio de Ixmiquilpan"
"453","Vialidades Urbanas",2022,"Ixmiquilpan",1759117.17,587,"Pavimentación asfáltica en Circuito Paredes; municipio de Ixmiquilpan"
"454","Infraestructura Hídrica",2024,"Ixmiquilpan",1492806.5056,945,"Reposición de Pozo Profundo de Agua Potable en la localidad de Cerritos Remedios.  (Perforación Exploratoria)."
"455","Vivienda Asequible",2023,"Ixmiquilpan",2064509.87,NA,"Programa para la ampliación de  vivienda modalidad construcción de cuarto dormitorio en los municipios de Ixmiquilpan y Chilcuautla"
"456","Infraestructura Hídrica",2022,"Ixmiquilpan",1764812.03,133,"Construcción de tanque elevado y equipamiento de pozo del sistema de distribución de agua potable; en la localidad de Cerro Blanco; municipio de Ixmiquilpan"
"457","Infraestructura Hídrica",2023,"Ixmiquilpan",4842207.43,474,"Ampliación de la Red de agua potable e interconexión a la red de CFE de paneles solares en la localidad de Cuesta Colorada en el municipio de Ixmiquilpan"
"458","Infraestructura Hídrica",2023,"Ixmiquilpan",2624279.15,NA,"Construcción de Planta de Tratamiento de Aguas Residuales de 1.12 L.P.S. La Mesa y Loma Lopez Rayón; Ixmiquilpan "
"459","Infraestructura Hídrica",2023,"Ixmiquilpan",3959594,3742,"Construcción de tomas domiciliarias del sistema de agua potable en Panales; Ixmiquilpan."
"460","Vialidades Urbanas",2023,"Ixmiquilpan",3148752.06,895,"Pavimentación asfáltica de la calle 20 de Noviembre; en la localidad de Bangandhó; municipio de Ixmiquilpan"
"461","Vialidades Urbanas",2023,"Ixmiquilpan",2510837.38,767,"Pavimentación asfáltica en calle El Bhenu en la localidad de El Alberto; municipio de Ixmiquilpan; Hidalgo."
"462","Infraestructura Carretera",2025,"Ixmiquilpan",8796019.63,NA,"Construccion de Huellas de Concreto Hidraulico en el Municipio de Ixmiquilpan en la Localidad de Maguey Blanco en Camino viejo de Manzana Centro 1; en el municpio de Ixmiquilpan"
"463","Espacios Públicos",2023,"Ixmiquilpan",4745448.52,620,"Construcción de centro comunitario de la localidad La Estación; municipio de Ixmiquilpan; Hidalgo."
"464","Vialidades Urbanas",2024,"Ixmiquilpan",755678.74,1763,"Construcción de pavimentación de concreto hidráulico de Calle Nezahualcóyotl en la localidad del Nith; en el municipio de Ixmiquilpan."
"465","Vialidades Urbanas",2024,"Ixmiquilpan",2765966.29,NA,"Construcción de pavimentación asfáltica en calle Jacarandas; localidad El Nith; en el municipio de Ixmiquilpan."
"466","Vialidades Urbanas",2023,"Ixmiquilpan",3620538.69,163,"Construcción de pavimentación hidráulica en acceso principal en la localidad de El Manantial"
"467","Infraestructura Hídrica",2023,"Ixmiquilpan",11636890.37,564,"Ampliación de la Red de Distribución de Agua Potable; Nequeteje"
"468","Infraestructura Carretera",2023,"Jacala de Ledezma",5998800,NA,"Modernización del camino La Palma - Quetzalapa en el municipio de Jacala de Ledezma."
"469","Vialidades Urbanas",2024,"Jacala de Ledezma",8275948.72,254,"Construcción de pavimentación hidráulica de calle Sin Nombre en Laguna Seca; municipio de Jacala de Ledezma"
"470","Vialidades Urbanas",2023,"Jacala de Ledezma",737223.28,4582,"Construcción de andador de concreto hidráulico en localidad El Sabino; calle Camino Real"
"471","Infraestructura Hídrica",2024,"Jacala de Ledezma",1914348.78,4582,"Rehabilitación de planta de tratamiento de aguas residuales en la cabecera municipal; en Jacala de Ledezma."
"472","Vialidades Urbanas",2023,"Jacala de Ledezma",713359.03,302,"Construcción de huellas de concreto hidráulico y empedrado en la localidad de Agua Fría Chica"
"473","Infraestructura Carretera",2025,"Jacala de Ledezma",1e+07,NA,"Modernización del camino Jacala - Quetzalapa en el municipio de Jacala (tercera etapa); municipio de Jacala de Ledezma"
"474","Infraestructura Carretera",2024,"Jacala de Ledezma",9677870.11,5044,"Modernización del camino Jacala - Quetzalapa en el municipio de Jacala (Segunda etapa)"
"475","Vialidades Urbanas",2023,"Jacala de Ledezma",687335.22,664,"Construcción de huellas de concreto hidráulico y empedrado en la localidad de San Nicolás"
"476","Infraestructura Carretera",2023,"Jacala de Ledezma",7732742.41,5044,"Modernización del camino Jacala - Quetzalapa en el municipio de Jacala"
"477","Vivienda Asequible",2024,"Jacala de Ledezma",1196202.61,NA,"Construcción de cuartos dormitorios en el municipio de Jacala de Ledezma"
"478","Infraestructura Carretera",2023,"Jaltocán",6209211.97,222,"Modernización y ampliación de camino rural E.C. Huejutla - San Felipe Orizatlán; E.C. Pahuayo; en la localidad de Tzinancatitla"
"479","Infraestructura Carretera",2025,"Jaltocán",2262429,NA,"Pavimentación con concreto hidráulico acceso a Cuatzatzas; en el municipio de Jaltocán"
"480","Vialidades Urbanas",2024,"Jaltocán",3876615.82,5919,"Construcción de pavimento hidráulico en Barrio Mirador calle Francisco Sarabia; municipio de Jaltocán"
"481","Infraestructura Hídrica",2023,"Jaltocán",2553249.55,744,"Construcción de colector de drenaje sanitario de las comunidades de Amaxac I; El Chote primera etapa; en el municipio de Jaltocán."
"482","Infraestructura Hídrica",2022,"Jaltocán",162789.011649913,NA,"Acciones de desinfección del agua: 379 filtro purificador microbiológico de agua para beber."
"483","Vivienda Asequible",2022,"Jaltocán",817874.33,NA,"Construcción de cuarto dormitorio; en el municipio de Jaltocán"
"484","Vialidades Urbanas",2024,"Jaltocán",2207491.29,349,"Pavimentación con concreto hidráulico calle Sin Nombre en la localidad de Cuatecomaco; en el municipio de Jaltocán."
"485","Vialidades Urbanas",2023,"Jaltocán",15708953.79,192,"Construcción de pavimento hidráulico en la calle de acceso principal a la localidad de La Ilusión - Anacleto Ramos - Potrero Zactipan - Octatitla; en el municipio de Jaltocán"
"486","Vialidades Urbanas",2025,"Jaltocán",3498080.0848,NA,"Pavimentación con concreto hidráulico calle Sin Nombre; en la localidad de Cuatecomaco; segunda etapa; en el municipio de Jaltocán"
"487","Vialidades Urbanas",2023,"Jaltocán",1379014.85,NA,"Construcción de pavimento hidráulico en la localidad de Tzinancatitla; en el municipio de Jaltocán."
"488","Infraestructura Carretera",2023,"Jaltocán",11916183.17,10776,"Rehabilitación de la Carretera Estatal Vinazco a Jaltocán; en el municipio de Jaltocán."
"489","Infraestructura Carretera",2024,"Juárez Hidalgo",6648897.22,NA,"Reconstrucción de la carretera Eloxochitlán - Juárez Hidalgo; en el Municipio de Juárez Hidalgo (Segunda etapa)"
"490","Infraestructura Carretera",2023,"Juárez Hidalgo",25594228.3,616,"Reconstrucción de la carretera Eloxochitlán - Juárez Hidalgo; en el Municipio de Juárez Hidalgo"
"491","Infraestructura Carretera",2023,"Juárez Hidalgo",6809998.56,343,"Pavimentación hidráulica de camino rural San Nicolás-Coatzontla; en el municipio de Juárez Hidalgo"
"492","Infraestructura Hídrica",2022,"Juárez Hidalgo",3771262.64,966,"Construcción de sistema de agua potable San Lorenzo Itztacoyotla; Juárez Hidalgo; etapa cuatro de cuatro"
"493","Espacios Públicos",2024,"Juárez Hidalgo",629748.32,616,"Remodelación de parque; beneficiando a la localidad de Juárez Hidalgo; en el municipio de Juárez Hidalgo."
"494","Vivienda Asequible",2024,"La Misión",1494498,NA,"Construcción de cuartos dormitorios en el municipio de La Misión"
"495","Infraestructura Carretera",2024,"La Misión",9862930.36,295,"Construcción de pavimentación hidráulica del C.R. Macangui - Cerro Prieto; municipio de La Misión"
"496","Infraestructura Carretera",2023,"La Misión",4237845.31,795,"Construcción de muro de contención en cabecera municipal carretera La Misión - Puerto Naranjos"
"497","Vialidades Urbanas",2024,"La Misión",5808822,73,"Pavimentación hidráulica de calle sin nombre del km 1+239.5 al 1+850.90 en Mesa del Huizache; municipio de La Misión"
"498","Infraestructura Carretera",2024,"La Misión",343044.91,308,"Construcción de muro de contención C.R. La Misión - La Palizada; municipio de la Misión."
"499","Infraestructura Hídrica",2022,"La Misión",151898.251961465,NA,"Acciones de desinfección del agua: 379 filtro purificador microbiológico de agua para beber."
"500","Infraestructura Hídrica",2023,"La Misión",3873500,394,"Construcción de red de distribución de agua potable en Cerro Prieto en el municipio de La Misión"
"501","Vialidades Urbanas",2023,"La Misión",5998800,73,"Pavimentación hidráulica de Calle Sin Nombre del Km 0+541.50 al 1+209.50 en Mesa del Huizache"
"502","Vialidades Urbanas",2023,"La Misión",2152968.98,424,"Pavimentación de concreto hidráulico del acceso a la comunidad de Palmitas; en el municipio de La  Misión."
"503","Infraestructura Hídrica",2023,"La Misión",1852758.21,394,"Construcción de red de distribución de agua potable en ""aguaje"" de Cerro Prieto; en el municipio de La Misión"
"504","Infraestructura Hídrica",2022,"La Misión",761098.43,NA,"Construcción de Sanitario con Biodigestor; en el municipio de La Misión"
"505","Vialidades Urbanas",2024,"La Misión",4744488.69,249,"Pavimentación hidráulica de calle sin nombre en Puerto de Naranjos; en el municipio de La Misión"
"506","Infraestructura Carretera",2024,"La Misión",2413983.07,546,"Construcción de muro de contención y pavimento hidráulico en el C.R. La Misión - Puerto de los Naranjos; municipio de La Misión"
