"ID"	"CVEGEO_MUN"	"NOM_MUN"	"Rubro"	"Inversión"	"Habitantes beneficiados"	"Ejercicio"	"Obra"	"tiene_geo"
275	13057	"Singuilucan"	"Infraestructura Hídrica"	117316.906288546	NA	2022	"Inversión de 6.3 mdp se llevó a cabo la reparación y mantenimiento de equipos de bombeo, para el abastecimiento de agua potable de los 15 municipios que presta el servicio CAASIM"	FALSE
275	13061	"Tepeapulco"	"Infraestructura Hídrica"	435773.966067843	NA	2022	"Inversión de 6.3 mdp se llevó a cabo la reparación y mantenimiento de equipos de bombeo, para el abastecimiento de agua potable de los 15 municipios que presta el servicio CAASIM"	FALSE
275	13072	"Tlanalapa"	"Infraestructura Hídrica"	86101.094940207	NA	2022	"Inversión de 6.3 mdp se llevó a cabo la reparación y mantenimiento de equipos de bombeo, para el abastecimiento de agua potable de los 15 municipios que presta el servicio CAASIM"	FALSE
275	13075	"Tolcayuca"	"Infraestructura Hídrica"	165508.106731999	NA	2022	"Inversión de 6.3 mdp se llevó a cabo la reparación y mantenimiento de equipos de bombeo, para el abastecimiento de agua potable de los 15 municipios que presta el servicio CAASIM"	FALSE
275	13066	"Villa de Tezontepec"	"Infraestructura Hídrica"	100969.087488597	NA	2022	"Inversión de 6.3 mdp se llevó a cabo la reparación y mantenimiento de equipos de bombeo, para el abastecimiento de agua potable de los 15 municipios que presta el servicio CAASIM"	FALSE
275	13082	"Zapotlán de Juárez"	"Infraestructura Hídrica"	166135.677027163	NA	2022	"Inversión de 6.3 mdp se llevó a cabo la reparación y mantenimiento de equipos de bombeo, para el abastecimiento de agua potable de los 15 municipios que presta el servicio CAASIM"	FALSE
275	13083	"Zempoala"	"Infraestructura Hídrica"	448643.031009415	NA	2022	"Inversión de 6.3 mdp se llevó a cabo la reparación y mantenimiento de equipos de bombeo, para el abastecimiento de agua potable de los 15 municipios que presta el servicio CAASIM"	FALSE
276	NA	"Cobertura Estatal"	"Infraestructura Carretera"	3296667.68	NA	2024	"Actualización de Estudio y Proyecto de la Carretera Eje Transversal Actopan - Atotonilco el Grande"	FALSE
277	13023	"Francisco I. Madero"	"Infraestructura Hídrica"	1.5e+07	NA	2025	"Sustitución de acueducto de concreto armado de 18 \" en el municipio de Francisco I. Madero"	FALSE
278	13023	"Francisco I. Madero"	"Infraestructura Hídrica"	1277845.29	NA	2025	"Rehabilitación de línea de distribución en calle Corregidora de III Demarcación, en el municipio de Francisco I. Madero"	FALSE
279	13023	"Francisco I. Madero"	"Infraestructura Hídrica"	3317058.52	42	2023	"Ampliación de Pozo de Agua Potable en el Barrio San Antonio (2a. Etapa)"	TRUE
280	13023	"Francisco I. Madero"	"Vialidades Urbanas"	4130601.15	2082	2023	"Pavimentación asfáltica en calle Sinaloa \"Camino Blanco\", localidad Dengantzha, municipio de Francisco I. Madero"	TRUE
281	13023	"Francisco I. Madero"	"Vialidades Urbanas"	6921000	2082	2024	"Construcción de pavimentación asfáltica en calle Sinaloa en la localidad de Dengantzhá (segunda etapa), en el municipio de Francisco I. Madero"	TRUE
282	13023	"Francisco I. Madero"	"Infraestructura Hídrica"	961312.7	7500	2022	"Inversion de 961,312 pesos en rehabilitación de Pozo Rosario, El Rosario, municipio de Francisco I, Madero"	TRUE
283	13023	"Francisco I. Madero"	"Vialidades Urbanas"	1770356.56	1100	2023	"Construcción de pavimentación asfáltica en calle Almada, barrio El Barroso en la localidad de colonia El Rosario."	TRUE
284	13023	"Francisco I. Madero"	"Infraestructura Hídrica"	224875.85	1300	2022	"Inversion de 224,875 pesos en la rehabilitación de la línea de conducción de agua potable, Col. Los Filtros, municipio de Francisco I, Madero"	FALSE
285	13023	"Francisco I. Madero"	"Infraestructura Hídrica"	1394710.69	15000	2022	"Inversion de más 1.300 mdp en rehabilitación de Pozo Mexe, col el 15, municipio de Francisco I. Madero"	TRUE
286	13023	"Francisco I. Madero"	"Infraestructura Hídrica"	4442683.26	875	2023	"Perforación de pozo profundo para extracción de agua potable, en la localidad de los Filtros, municipio de Francisco I. Madero."	TRUE
287	13023	"Francisco I. Madero"	"Infraestructura Hídrica"	4561613.05	875	2024	"Continuidad de Perforación de pozo profundo para extracción de agua potable, en la localidad de los Filtros, municipio de Francisco I. Madero."	TRUE
288	13023	"Francisco I. Madero"	"Infraestructura Hídrica"	341305.65	1950	2022	"Inversion de 341,305 pesos en la rehabilitación de la línea de conducción de agua potable por bombeo, San Antonio, municipio de Francisco I, Madero"	FALSE
289	13023	"Francisco I. Madero"	"Infraestructura Hídrica"	386204.68	NA	2022	"Inversion de 386,204 pesos en la rehabilitación de la línea de conducción de agua potable, San Antonio, municipio de Francisco I, Madero"	FALSE
290	13023	"Francisco I. Madero"	"Infraestructura Hídrica"	298208.98	2500	2022	"Inversion de  298,208 pesos en rehabilitación de pozo San Juan, San Juan Tepa, municipio de Francisco I, Madero"	TRUE
291	13023	"Francisco I. Madero"	"Infraestructura Carretera"	18536227.01	11149	2023	"Rehabilitación de acceso principal Tepatepec - San Juan Tepa; municipio de Francisco I. Madero"	TRUE
292	13023	"Francisco I. Madero"	"Infraestructura Carretera"	17995179.67	NA	2022	"Reconstrucción asfáltica de la carretera San Juan Tepa - Tecomatlán, municipio de Francisco I. Madero"	TRUE
293	13023	"Francisco I. Madero"	"Infraestructura Hídrica"	50546.7	NA	2022	"Inversion de 50,546 pesos en la construcción de ampliación de red de agua potable, Tepatepec, municipio de Francisco I, Madero"	TRUE
294	13023	"Francisco I. Madero"	"Vialidades Urbanas"	6512978.71	11335	2023	"Rehabilitación de pavimentación asfáltica en calle Galena y Allende, Segunda Demarcación, municipio de Francisco I. Madero"	TRUE
295	13023	"Francisco I. Madero"	"Infraestructura Hídrica"	1200000	11335	2024	"Construcción y/o rehabilitación de cajas de válvulas  en red de distribución de agua potable, en el Municipio de Francisco I. Madero."	TRUE
296	13023	"Francisco I. Madero"	"Infraestructura Hídrica"	367000	NA	2024	"Cambio de línea de conducción"	TRUE
297	13024	"Huasca de Ocampo"	"Vivienda Asequible"	485583.4	NA	2022	"Construcción de cuarto dormitorio, en el municipio de Huasca de Ocampo"	TRUE
298	13024	"Huasca de Ocampo"	"Infraestructura Carretera"	29013982.09	NA	2024	"Reconstrucción de la C.E. Huasca de Ocampo - Tulancingo"	TRUE
299	13024	"Huasca de Ocampo"	"Vialidades Urbanas"	1046160.69	417	2024	"Reconstrucción de empedrados de calles principales del centro de Huasca y construcción de pasos peatonales"	TRUE
300	13024	"Huasca de Ocampo"	"Infraestructura Carretera"	31500000	NA	2025	"Reconstrucción de la C.E. Huasca de Ocampo - Tulancingo (segunda etapa), en el municipio de Huasca de Ocampo"	FALSE
301	13024	"Huasca de Ocampo"	"Infraestructura Carretera"	8088051.85	755	2023	"Construcción del libramiento El Peral - Hacienda Hueyapan, municipio de Huasca de Ocampo, Hidalgo"	TRUE
302	13024	"Huasca de Ocampo"	"Infraestructura Carretera"	2339733.17	205	2024	"Terminación de construcción del libramiento El Peral - Hacienda Hueyapan y ampliación de puente vehicular \"Puente Blanco\" a dos carriles, en el municipio de Huasca de Ocampo"	FALSE
303	13024	"Huasca de Ocampo"	"Infraestructura Hídrica"	4769226.12	712	2024	"Perforación de pozo para agua potable en la localidad de Santo Tomas Allende"	TRUE
304	13024	"Huasca de Ocampo"	"Vialidades Urbanas"	2906043	940	2023	"Construcción de pavimento hidráulico carretera Los Conos - Barrio San Juan en la localidad de Tlaxocoyucan, municipio de Huasca de Ocampo"	TRUE
305	13025	"Huautla"	"Infraestructura Hídrica"	2046213.46	1078	2023	"Construcción de la Planta de Tratamiento zona norte para beneficiar a la localidad de Acatepec en el municipio de Huautla."	TRUE
306	13025	"Huautla"	"Infraestructura Carretera"	2032946.68	NA	2023	"Rehabilitación del tramo Acatepec-Huemaco, del km 0+000 al km 2+830; en el municipio de Huautla."	TRUE
307	13025	"Huautla"	"Infraestructura Carretera"	9872640.9	1078	2024	"Reconstrucción de la C.E. (E.C.F. Álamo - Huejutla) - Acatepec, municipio de Huautla"	FALSE
308	13025	"Huautla"	"Vivienda Asequible"	3135439.06	NA	2024	"Construcción de cuartos dormitorios en el municipio de Huautla"	TRUE
309	13025	"Huautla"	"Infraestructura Carretera"	5996746.29	477	2023	"Rehabilitación del tramo E.C. (Huautla-El Cojolite) -Coatzonco, del km 0+000 al km 4+500; en el municipio de Huautla."	TRUE
310	13025	"Huautla"	"Infraestructura Carretera"	9678128.38	NA	2023	"Modernización del C.R. El Ixtle - Los Cerezos; en el municipio de Huahutla."	TRUE
311	13025	"Huautla"	"Vialidades Urbanas"	716219.82	411	2023	"Rehabilitación de puente en la comunidad de \"El Ixtle\" Huautla."	TRUE
312	13025	"Huautla"	"Infraestructura Carretera"	10010323.51	411	2024	"Modernización de C.R. El Ixtle - El Aguacate, en el municipio de Huautla"	FALSE
313	13025	"Huautla"	"Infraestructura Carretera"	5666098.79	257	2023	"Rehabilitación del tramo: acceso a Huemaco, del km 0+000 al km 8+000"	TRUE
314	13025	"Huautla"	"Infraestructura Carretera"	10121668.5	304	2024	"Rehabilitación del camino Aquetzpalco a La Mesa, municipio de Huautla"	FALSE
315	13025	"Huautla"	"Infraestructura Carretera"	7741301.52	304	2023	"Construcción de pavimento de concreto hidráulico de Barrio Hondo a la localidad de Pahuatitla"	TRUE
316	13025	"Huautla"	"Infraestructura Carretera"	2420505.49	140	2023	"Rehabilitación del tramo: Pepeyoca de Cabrera-Ahuatitla, del km 0+000 al km 3+500"	TRUE
317	13025	"Huautla"	"Infraestructura Carretera"	9878247.66	1509	2023	"Reconstrucción de carpeta asfáltica de C.E Huautla - Tamoyon I, Municipio de Huautla."	TRUE
318	13025	"Huautla"	"Infraestructura Carretera"	7741247.99	149	2023	"Rehabilitación del tramo: Tamoyón II-Pepeyoca de Cabrera, del km 0+000 al km 10+000."	TRUE
319	13025	"Huautla"	"Infraestructura Carretera"	1087908.62	414	2023	"Rehabilitación del tramo Tecoluco Calpan-Metlatepec, del km 0+000 al km 1+500; en el municipio de Huautla"	TRUE
320	13025	"Huautla"	"Infraestructura Carretera"	3872813.43	181	2023	"Rehabilitación del Tramo: E.C. Huautla - Chalingo - Tzacuala - Tohuaco I, del km 0+000 al km 5+500 en el municipio de Huautla"	TRUE
321	13025	"Huautla"	"Infraestructura Carretera"	3131249.21	331	2024	"Rehabilitación de camino Tohuaco I a Tepetzquimitl, del km 0.000 al km 4.000, en el municipio de Huautla."	TRUE
322	13025	"Huautla"	"Vivienda Asequible"	2751830.5	NA	2022	"Construcción de Cuarto Dormitorio, en el municipio de Huautla"	FALSE
323	13025	"Huautla"	"Infraestructura Carretera"	8451903.32	NA	2024	"Rehabilitación de camino el Ixtle a El Lindero a Coatempa, del km 0.000 al km 12.000, en el municipio de Huautla."	FALSE
324	13026	"Huazalingo"	"Infraestructura Carretera"	13459082.31	349	2024	"Rehabilitación de la Pavimentación de concreto hidráulico del acceso a la localidad de Ixtlahuac, municipio de Huazalingo."	FALSE
325	13026	"Huazalingo"	"Infraestructura Carretera"	6475113.67	1766	2022	"Construcción de Pavimentación hidráulica en la localidad de Chiatipan, municipio de Huazalingo"	TRUE
326	13026	"Huazalingo"	"Infraestructura Carretera"	10465728.9	240	2024	"Rendimientos Financieros para la Construcción de pavimentación de concreto hidráulico Camino Real a Tehuetlán, municipio de Huazalingo."	FALSE
327	13026	"Huazalingo"	"Infraestructura Carretera"	10000	NA	2024	"Construcción de pavimentación de concreto hidráulico Camino Real a Tehuetlán, municipio de Huazalingo."	FALSE
328	13026	"Huazalingo"	"Infraestructura Carretera"	23832062.25	609	2023	"Construcción de puente vehicular Cuamontax; municipio de Huazalingo."	TRUE
329	13026	"Huazalingo"	"Espacios Públicos"	5245074.48	842	2023	"Remodelación de Plaza Comunitaria."	TRUE
330	13026	"Huazalingo"	"Infraestructura Carretera"	10091167.78	770	2024	"Construcción de muro de contención en la localidad de San Pedro, en el municipio de Huazalingo."	FALSE
331	13026	"Huazalingo"	"Infraestructura Carretera"	3745558.48	115	2024	"Pavimentación hidráulica y construcción de muro de contención en el C.R. Huilotitla I - Pilchatipa, municipio de Huazalingo"	FALSE
332	13026	"Huazalingo"	"Infraestructura Carretera"	2041670.5	124	2023	"Rehabilitación del tramo E.C. (San Pedro - Huazalingo) - Tetlicuil, del km 0+000 al km 2+600; en el municipio de Huazalingo"	TRUE
333	13026	"Huazalingo"	"Infraestructura Carretera"	5794367.97	722	2024	"Rehabilitación de la C.E. Ramal a Tlamamala, municipio de Huazalingo"	FALSE
334	13026	"Huazalingo"	"Vialidades Urbanas"	2905277.97	329	2023	"Construcción de pavimentación hidráulica acceso a la localidad de Tlatzonco"	TRUE
335	13026	"Huazalingo"	"Infraestructura Carretera"	8273548.61	574	2024	"Construcción de pavimentación de C.R. Tlaltzonco a Tzapotitla del km. 0.469 al km 1.269, municipio de Huazalingo"	TRUE
336	13026	"Huazalingo"	"Infraestructura Carretera"	1798990.51	245	2023	"Rehabilitación del tramo Tzapotitla - Tlatzonco del km 0+000 al km 2+300; en el municipio de Huazalingo"	TRUE
337	13026	"Huazalingo"	"Infraestructura Hídrica"	2940289.92	NA	2022	"Construcción de sanitario con biodigestor, en el municipio de Huazalingo"	FALSE
338	13026	"Huazalingo"	"Vivienda Asequible"	3080084.47	NA	2022	"Construcción de Cuarto Dormitorio, en el municipio de Huazalingo"	FALSE
339	13026	"Huazalingo"	"Vivienda Asequible"	690671.685139588	NA	2022	"Construcción de 40 cuartos dormitorio en los municipios de San Felipe Orizatlán, Tepehuacán de Guerrero y Huazalingo"	FALSE
339	13046	"San Felipe Orizatlán"	"Vivienda Asequible"	2082510.92780769	NA	2022	"Construcción de 40 cuartos dormitorio en los municipios de San Felipe Orizatlán, Tepehuacán de Guerrero y Huazalingo"	FALSE
339	13062	"Tepehuacán de Guerrero"	"Vivienda Asequible"	1689889.55705272	NA	2022	"Construcción de 40 cuartos dormitorio en los municipios de San Felipe Orizatlán, Tepehuacán de Guerrero y Huazalingo"	FALSE
340	13027	"Huehuetla"	"Vivienda Asequible"	1279635.52	10	2023	"Programa para la ampliación de  vivienda modalidad construcción de cuarto dormitorio en los municipios de Huehuetla"	TRUE
341	13027	"Huehuetla"	"Espacios Públicos"	2424231.92	6559	2023	"Habilitación de infraestructura para el manejo integral de los residuos sólidos urbanos del municipio de Huehuetla"	TRUE
342	13027	"Huehuetla"	"Infraestructura Carretera"	51159475.34	NA	2023	"Rehabilitación C.E. Santa María Temaxcalapa - Huehuetla, Subtramo del km 5+900 al km 10+000; en el municipio de Huehuetla"	TRUE
343	13027	"Huehuetla"	"Infraestructura Carretera"	38720095	2993	2024	"Rehabilitación de puente vehicular Mirasol, en el municipio de Huehuetla."	TRUE
344	13027	"Huehuetla"	"Espacios Públicos"	920293.66	16	2023	"Rehabilitación en azoteas, fachadas y puertas del CRIRH, sede Huehuetla."	TRUE
345	13027	"Huehuetla"	"Infraestructura Carretera"	1716294.18	867	2024	"Construcción de muros de contención en la C.E. Huehuetla - San Ambrosio, municipio de Huehuetla"	FALSE
346	13027	"Huehuetla"	"Infraestructura Carretera"	40798440.04	NA	2025	"Pavimentación de concreto hidráulico en camino San Gregorio - San Ambrosio, en la localidad de San Ambrosio, en el municipio de Huehuetla"	FALSE
347	13027	"Huehuetla"	"Infraestructura Hídrica"	822540.07	48	2022	"Construcción de sanitario con biodigestor, en el municipio de Huehuetla"	TRUE
348	13027	"Huehuetla"	"Vivienda Asequible"	3013545.5	NA	2022	"Construcción de Cuarto Dormitorio, en el municipio de Huehuetla"	FALSE
349	13027	"Huehuetla"	"Infraestructura Hídrica"	353423.715685062	NA	2022	"Acciones de desinfección del agua: 379 filtro purificador microbiológico de agua para beber."	FALSE
349	13032	"Jaltocán"	"Infraestructura Hídrica"	162789.011649913	NA	2022	"Acciones de desinfección del agua: 379 filtro purificador microbiológico de agua para beber."	FALSE
349	13040	"La Misión"	"Infraestructura Hídrica"	151898.251961465	NA	2022	"Acciones de desinfección del agua: 379 filtro purificador microbiológico de agua para beber."	FALSE
349	13047	"Pacula"	"Infraestructura Hídrica"	73450.7485806126	NA	2022	"Acciones de desinfección del agua: 379 filtro purificador microbiológico de agua para beber."	FALSE
349	13049	"Pisaflores"	"Infraestructura Hídrica"	289641.610293768	NA	2022	"Acciones de desinfección del agua: 379 filtro purificador microbiológico de agua para beber."	FALSE
349	13046	"San Felipe Orizatlán"	"Infraestructura Hídrica"	595464.661829179	NA	2022	"Acciones de desinfección del agua: 379 filtro purificador microbiológico de agua para beber."	FALSE
350	13028	"Huejutla de Reyes"	"Infraestructura Carretera"	14335853.28	196	2024	"Rehabilitación de puente vado Achichípil, en la localidad de Achichípil, municipio de Huejutla de Reyes"	FALSE
351	13028	"Huejutla de Reyes"	"Infraestructura Carretera"	12400149.33	892	2023	"Construcción de pavimento de concreto hidráulico en camino Xiloco - Macuxtepetla en tramo 1 del km 0+000 al km 0+883.85 y tramo del km 0+000 al km 0+530.60; municipio de Huejutla de Reyes"	TRUE
352	13028	"Huejutla de Reyes"	"Infraestructura Carretera"	1982986.39	303	2023	"Rehabilitación del tramo Huehuetla - Atappa - Octatitla, del km 0+000 al km 2+500; en el municipio de Huejutla de Reyes."	TRUE
353	13028	"Huejutla de Reyes"	"Infraestructura Carretera"	7239786.11	1167	2023	"Construye tu camino del tramo Santa Clara - Axcaco, en el municipio de Huejutla de Reyes."	TRUE
354	13028	"Huejutla de Reyes"	"Infraestructura Carretera"	3722586.38	NA	2024	"Construye Tu Camino del tramo Santa Clara a Axcaco, en el municipio de Huejutla de Reyes"	TRUE
355	13028	"Huejutla de Reyes"	"Infraestructura Carretera"	13538926.8	1687	2022	"Construcción de Pavimento Asfáltico del camino rural Otates - Cacateco, municipio de Huejutla de Reyes"	TRUE
356	13028	"Huejutla de Reyes"	"Infraestructura Carretera"	13114679.28	913	2024	"Rehabilitación de puente vehicular en la carretera Cececapa a La Corrala, en la localidad de Cececapa, municipio de Huejutla de Reyes"	FALSE
357	13028	"Huejutla de Reyes"	"Infraestructura Carretera"	2779379.89	215	2024	"Rehabilitación del C.R. Tamalcuatitla - Apilol - Chalahuitzintla - Tlanepantla, municipio de Huejutla de Reyes"	FALSE
358	13028	"Huejutla de Reyes"	"Infraestructura Carretera"	14575391.13	1428	2023	"Rehabilitación de carpeta asfáltica del tramo C.E. Chalahuiyapa - Los Otates del 0+000 al 3+800; en el municipio de Huejutla de Reyes"	TRUE
359	13028	"Huejutla de Reyes"	"Infraestructura Carretera"	4308296.43	0	2024	"Estudio y proyecto para la solución en el crucero sobre la C.F. Pachuca - Tampico hacia el Boulevard Chalahuiyapa en el municipio de Huejutla de Reyes."	TRUE
360	13028	"Huejutla de Reyes"	"Infraestructura Carretera"	20896857.14	3369	2022	"Reconstrucción de la carretera estatal E.C.F. Pachuca - Tempoal - San José - Coacuilco, municipio de Huejutla de Reyes"	TRUE
361	13028	"Huejutla de Reyes"	"Infraestructura Carretera"	13351754.18	3369	2024	"Rehabilitación de la carretera de Mazaquilico a Coacuilco, municipio de Huejutla de Reyes"	TRUE
362	13028	"Huejutla de Reyes"	"Vivienda Asequible"	1279684.89	10	2023	"Programa para la ampliación de  vivienda modalidad construcción de cuarto dormitorio en el municipio de Huejutla de Reyes"	TRUE
363	13028	"Huejutla de Reyes"	"Infraestructura Carretera"	8668792.28	542	2023	"Pavimentación asfáltica del Camino Cruztitla; municipio de Huejutla de Reyes."	TRUE
364	13028	"Huejutla de Reyes"	"Espacios Públicos"	788409.27	NA	2023	"Rehabilitación de fachadas, cancelería, barda, y policarbonato del CRIRH, sede Huejutla de Reyes"	TRUE
365	13028	"Huejutla de Reyes"	"Espacios Públicos"	790324.82	44311	2023	"Rehabilitación de Centro Gerontológico Integral de Huejutla."	TRUE
366	13028	"Huejutla de Reyes"	"Espacios Públicos"	67722440	NA	2023	"Fortalecimiento para la Atención de Niñas, Niños y Adolescentes Migrantes en el Municipio de Huejutla de Reyes Estado de Hidalgo, para la construcción del Albergue para niñez y adolescencia Migrante Acompañada y no Acompañada"	TRUE
367	13028	"Huejutla de Reyes"	"Espacios Públicos"	15393431.83	44311	2022	"Casa de la Cultura Huasteca"	TRUE
368	13028	"Huejutla de Reyes"	"Espacios Públicos"	1193988.08	NA	2022	"Mejoramiento de la Base de Operaciones de Huejutla, Hgo. de la Secretaría de Seguridad Pública"	TRUE
369	13028	"Huejutla de Reyes"	"Espacios Públicos"	2427504.98	44311	2024	"Construcción del nuevo Centro Gerontológico Integral de Huejutla de Reyes."	TRUE
370	13028	"Huejutla de Reyes"	"Infraestructura Hídrica"	7737692.51	NA	2024	"Estudio y proyecto para el encauzamiento y saneamiento del Río Chinguiñoso, en el municipio de Huejutla de Reyes"	TRUE
371	13028	"Huejutla de Reyes"	"Infraestructura Carretera"	16051741.62	NA	2024	"Rehabilitación de la carretera Pachuca a Tempoal, paso por Huejutla, municipio de Huejutla de Reyes"	FALSE
372	13028	"Huejutla de Reyes"	"Infraestructura Carretera"	9398436.7	3579	2024	"Rehabilitación de camino E.C. de Tehuetlán a Huejutla a Ixcatépec, del Km 0.000 al Km 6.000, en el municipio de Huejutla de Reyes."	TRUE
373	13028	"Huejutla de Reyes"	"Infraestructura Carretera"	23331061.06	542	2022	"Reconstrucción de la carretera estatal Santa Cruz - Huichapa - La Corrala, municipio de Huejutla de Reyes"	TRUE
374	13028	"Huejutla de Reyes"	"Infraestructura Carretera"	3369621.53	413	2024	"Reconstrucción de superficie de rodamiento del puente El Aguacate, municipio de Huejutla de Reyes"	FALSE
375	13028	"Huejutla de Reyes"	"Infraestructura Carretera"	9757411.25	11084	2023	"Modernización del camino rural los Parajes - Chalahuiyapa; en el municipio de Huejutla de Reyes."	TRUE
376	13028	"Huejutla de Reyes"	"Infraestructura Carretera"	9689109.94	297	2024	"Construcción de pavimentación hidráulica del Camino Rural los Parajes a Chalahuiyapa segunda etapa, en el municipio de Huejutla de Reyes."	TRUE
377	13028	"Huejutla de Reyes"	"Infraestructura Carretera"	12020495.87	2246	2024	"Construcción de pavimentación de concreto hidráulico en acceso a la localidad de Pahuatlán, en el municipio de Huejutla de Reyes."	TRUE
378	13028	"Huejutla de Reyes"	"Infraestructura Carretera"	1567938.72	155	2023	"Rehabilitación del tramo Pahuatzintla - Nepalapa, del km 0+000 al km 2+000; en el municipio de Huejutla de Reyes"	TRUE
379	13028	"Huejutla de Reyes"	"Infraestructura Carretera"	32569520.47	1573	2024	"Rehabilitación de la carretera Huejutla a Santa Cruz, municipio de Huejutla de Reyes"	FALSE
380	13028	"Huejutla de Reyes"	"Infraestructura Carretera"	2352833.32	155	2023	"Rehabilitación del tramo Tamalcuatitla - Tepehica, del km 0+000 al km 3+000; en el municipio de Huejutla de Reyes."	TRUE
381	13028	"Huejutla de Reyes"	"Infraestructura Carretera"	3748852.67	1203	2024	"Reconstrucción de muro de contención en la C.E. Huejutla - Macuxtepetla, municipio de Huejutla de Reyes"	FALSE
382	13028	"Huejutla de Reyes"	"Infraestructura Carretera"	4309144.15	842	2023	"Rehabilitación del tramo: Tetzahapa I-Temaxcaltitla-Coamila, del km cero al cinco punto cinco, en el municipio de Huejutla de Reyes."	TRUE
383	13028	"Huejutla de Reyes"	"Infraestructura Carretera"	1674376.62	642	2023	"Mejoramiento de camino Huehuetla - Tilcalco - Las Nueces, municipio de Huejutla de Reyes"	TRUE
384	13028	"Huejutla de Reyes"	"Infraestructura Carretera"	2924919.21	526	2023	"Mejoramiento del camino entronque carretero (Pachuca - Huejutla) - Tlalnepanco, municipio de Huejutla de Reyes"	TRUE
385	13028	"Huejutla de Reyes"	"Infraestructura Hídrica"	1567739.63	NA	2024	"Construcción de sanitario con biodigestor en el municipio de Huejutla de Reyes"	FALSE
386	13028	"Huejutla de Reyes"	"Infraestructura Carretera"	7747264	235	2024	"Reconstrucción de la C.E. Libramiento Sur Huejutla - (E.C. Pachuca - Tempoal), municipio de Huejutla de Reyes"	FALSE
387	13028	"Huejutla de Reyes"	"Infraestructura Carretera"	2746119.76	174	2023	"Rehabilitación del tramo E.C. (Atlapexco-Huautla) - Xionaxtla, del km 0+000 al km 3+000; en el municipio de Huejutla."	TRUE
388	13028	"Huejutla de Reyes"	"Infraestructura Carretera"	8475834.44	2051	2024	"Reconstrucción de C.E. Xiquila - Huejutla, municipio de Huejutla de Reyes"	TRUE
389	13029	"Huichapan"	"Infraestructura Hídrica"	3176175.03	866	2023	"Construcción de sistema de alcantarillado sanitario y PTAR en Dongoteay etapa tres de cuatro, Huichapan"	TRUE
390	13029	"Huichapan"	"Infraestructura Hídrica"	3918165.88	866	2022	"Construcción de sistema de alcantarillado sanitario y PTAR en Dongoteay etapa dos de cuatro"	TRUE
391	13029	"Huichapan"	"Infraestructura Hídrica"	6713093.43	866	2024	"Construcción de sistema de alcantarillado sanitario y PTAR en Dongoteay. (Terminación)"	TRUE
392	13029	"Huichapan"	"Infraestructura Carretera"	19355489.37	9853	2023	"Reconstrucción de la C.E. Saucillo - Nopala; en el municipio de Huichapan."	TRUE
393	13029	"Huichapan"	"Infraestructura Carretera"	46599999.89	9853	2024	"Reconstrucción de la C.E. E.C.F. 45 Portezuelo - Palmillas a Tecozautla, en el municipio de Huichapan"	TRUE
394	13029	"Huichapan"	"Infraestructura Hídrica"	6161136.36	1162	2025	"Perforación de pozo profundo para agua potable localidad de Jonacapa"	FALSE
395	13029	"Huichapan"	"Infraestructura Carretera"	12168164.4	13399	2023	"Reconstrucción de la carretera Huichapan - San José Atlán, en el municipio de Huichapan."	TRUE
396	13029	"Huichapan"	"Vivienda Asequible"	1334325.77	NA	2022	"Construcción de Cuarto Dormitorio, en el municipio de Huichapan"	FALSE
397	13030	"Ixmiquilpan"	"Vivienda Asequible"	2064509.87	NA	2023	"Programa para la ampliación de  vivienda modalidad construcción de cuarto dormitorio en los municipios de Ixmiquilpan y Chilcuautla"	TRUE
398	13030	"Ixmiquilpan"	"Vialidades Urbanas"	3148752.06	895	2023	"Pavimentación asfáltica de la calle 20 de Noviembre, en la localidad de Bangandhó, municipio de Ixmiquilpan"	TRUE
399	13030	"Ixmiquilpan"	"Vivienda Asequible"	1058251.2	NA	2024	"Construcción de cuartos dormitorios en el municipio de Ixmiquilpan"	TRUE
400	13030	"Ixmiquilpan"	"Vialidades Urbanas"	1759117.17	587	2022	"Pavimentación asfáltica en Circuito Paredes, municipio de Ixmiquilpan"	TRUE
401	13030	"Ixmiquilpan"	"Infraestructura Hídrica"	1492806.5056	945	2024	"Reposición de Pozo Profundo de Agua Potable en la localidad de Cerritos Remedios.  (Perforación Exploratoria)."	TRUE
402	13030	"Ixmiquilpan"	"Vivienda Asequible"	4606395.38	NA	2023	"Construcción de 36 cuartos dormitorio en el municipio de Ixmiquilpan y Santiago de Anaya"	TRUE
403	13030	"Ixmiquilpan"	"Infraestructura Hídrica"	1764812.03	133	2022	"Construcción de tanque elevado y equipamiento de pozo del sistema de distribución de agua potable, en la localidad de Cerro Blanco, municipio de Ixmiquilpan"	TRUE
404	13030	"Ixmiquilpan"	"Infraestructura Hídrica"	4842207.43	474	2023	"Ampliación de la Red de agua potable e interconexión a la red de CFE de paneles solares en la localidad de Cuesta Colorada en el municipio de Ixmiquilpan"	TRUE
405	13030	"Ixmiquilpan"	"Infraestructura Hídrica"	494190.08	474	2024	"Construcción de obra de drenaje y obra complementaria del sistema de agua potable en Cuesta Colorada, municipio de Ixmiquilpan."	FALSE
406	13030	"Ixmiquilpan"	"Infraestructura Hídrica"	2443647.39	552	2025	"Construcción de Sistema de Agua Potable en Ixmiquilpan, Localidad El Dexthi San Juanico (terminación)"	FALSE
