"No.","Municipio_Original","CVEGEO","NOM_MUN","Rubro","Ejercicio","Obra","Localidad","Inversión","Avance","Habitantes beneficiados"
"27","Actopan","13003","Actopan","Vialidades Urbanas","2023","Rehabilitación del pavimento asfáltico de calle en la localidad de Pozo Grande en el municipio de Actopan","Actopan",2911884.2,"0.99900000000000011","NA"
"38","Actopan","13003","Actopan","Vialidades Urbanas","2023","Pavimento estampado y banquetas en calle Benito Juárez en la localidad de Chicavasco Actopan","Chicavasco",2653426.26,"1","NA"
"32","Actopan","13003","Actopan","Infraestructura Carretera","2025","Pago de afectaciones a predio rustico tipo de predio (baldío) uso de suelo catastral (clase no edificado) ámbito del predio (rural) propietario Gregoria Hernández Bautista para la Construcción del Eje Transversal Actopan - Atotonilco","Actopan",852279,"0","1"
"41","Actopan","13003","Actopan","Vialidades Urbanas","2023","Pavimentación asfáltica en la localidad del Huaxtho en el municipio de Actopan.","El Huaxtho",1083421.67,"1","3131"
"34","Actopan","13003","Actopan","Infraestructura Carretera","2025","Pago de afectaciones a predio rustico tipo de predio (baldío) uso de suelo catastral (clase no edificado) ámbito del predio (rural) propietario Isaías Hernández Acosta para la construcción del eje transversal Actopan - Atotonilco","Actopan",4001983.5,"0","1"
"40","Actopan","13003","Actopan","Vialidades Urbanas","2023","Pavimentación de concreto hidráulico en calle Vía de los Reyes San Lucas Daxtha en el municipio de Actopan","El Daxtha",4358271.41,"1","2754"
"43","Actopan","13003","Actopan","Vialidades Urbanas","2022","Reconstrucción de la calle Hidalgo en la localidad de La Loma municipio de Actopan","La Loma",996470.32,"1","1209"
"45","Actopan","13003","Actopan","Infraestructura Carretera","2024","Construye Tu Camino del tramo calle Abasolo en la localidad de San Andrés Tianguistengo en el municipio de Actopan","San Andrés Tianguis tengo",9600000,"0.5","250"
"39","Actopan","13003","Actopan","Vialidades Urbanas","2023","Pavimentación Asfáltica de Calle Principal San Isidro en la Localidad El Boxtha en el Municipio de Actopan.","El Boxtha",3297316.3,"1","3034"
"44","Actopan","13003","Actopan","Vialidades Urbanas","2023","Pavimentación asfáltica en la localidad de La Peña en el municipio de Actopan.","La Peña",1018725.29,"1","1122"
"31","Actopan","13003","Actopan","Vialidades Urbanas","2024","Pavimentación hidráulica de calle Industrial Metal Mecánica en el municipio de Actopan","Actopan",4464364.4,"1","NA"
"30","Actopan","13003","Actopan","Vialidades Urbanas","2024","Construcción de pavimentación de concreto hidráulico en calle 5 de mayo Col. Chapultepec en el municipio de Actopan.","Actopan",10674990.28,"0.1467","NA"
"33","Actopan","13003","Actopan","Infraestructura Carretera","2025","Pago de afectaciones a predio rustico tipo de predio (baldío) uso de suelo catastral (clase no identificado) ámbito del predio (rural) propietario Tirzo Acosta Hernández para la Construcción del Eje Transversal Actopan - Atotonilco.","Actopan",548881.5,"0","1"
"28","Actopan","13003","Actopan","Vivienda Asequible","2024","Construcción de cuartos dormitorios en el municipio de Actopan","Actopan",661904.06,"0","NA"
"42","Actopan","13003","Actopan","Vialidades Urbanas","2023","Pavimentación asfáltica en calle Palma en la localidad de El Huaxtho en el municipio de Actopan.","El Huaxtho",1245462.68,"1","NA"
"29","Actopan","13003","Actopan","Espacios Públicos","2024","Rehabilitación de CGI de Actopan","Actopan",494795.03,"1","32276"
"48","Agua Blanca De Iturbide","13004","Agua Blanca de Iturbide","Infraestructura Carretera","2023","Reconstrucción de la C.E. Agua Blanca-Zacualpa en el municipio de Agua Blanca","Varias",15618248.25,"1","NA"
"46","Agua Blanca De Iturbide","13004","Agua Blanca de Iturbide","Infraestructura Carretera","2024","Reconstrucción de la C.E. Agua Blanca-Zacualpa (Segunda etapa) en el municipio de Agua Blanca de Iturbide","Agua Blanca de Iturbide",7746081.48,"0.38","2325"
"47","Agua Blanca De Iturbide","13004","Agua Blanca de Iturbide","Vivienda Asequible","2024","Construcción de cuartos dormitorios en el municipio de Agua Blanca de Iturbide","Los Cubes ",140575.91,"0","4"
"50","Ajacuba","13005","Ajacuba","Infraestructura Carretera","2025","Reconstrucción de la C.E. Tecamatl - Ajacuba en el municipio de Ajacuba","Ajacuba",25679733.25,"0","NA"
"51","Ajacuba","13005","Ajacuba","Infraestructura Carretera","2023","Reconstrucción de carpeta asfáltica de la C.E. Ajacuba - San Juan Tepa municipio de Ajacuba","San Nicolás Tecomatlán",15856116.2,"1","14299"
"49","Ajacuba","13005","Ajacuba","Vialidades Urbanas","2023","Pavimentación con concreto hidráulico en calle Julian Villagrán entre calle Zacatecas y calle Guelatao colonia El Salitre en el municipio de Ajacuba","Ajacuba",3142161.55,"1","8254"
"53","Ajacuba","13005","Ajacuba","Vialidades Urbanas","2024","Construcción de pavimentación con concreto hidráulico en Calle Tlaloc en la localidad de Santiago Tezontlale Colonia Cuauhtémoc municipio de Ajacuba.","Santiago Tezontlale",3939297.39,"0.88","4558"
"55","Ajacuba","13005","Ajacuba","Infraestructura Hídrica","2024","Reposición de pozo para agua potable en la localidad de Vicente Guerrero municipio de Ajacuba","Vicente Guerrero",3680423.35,"1","1800"
"52","Ajacuba","13005","Ajacuba","Vivienda Asequible","2024","Construcción de cuartos dormitorios en el municipio de Ajacuba","San Nicolás Tecomatlán Tulancalco",397142.43,"0","12"
"54","Ajacuba","13005","Ajacuba","Infraestructura Hídrica","2022","Construcción de sistema de agua potable en Vicente Guerrero etapa cuatro de cuatro","Vicente Guerrero",2472913.55,"1","1800"
"64","Alfajayucan","13006","Alfajayucan","Infraestructura Hídrica","2024","Perforación del Pozo Profundo en la localidad de San Francisco Sacachichilco municipio de Alfajayucan Hgo. (Perforación exploratoria)","San Francisco Sacachichilco",1907617.96,"0.68","801"
"62","Alfajayucan","13006","Alfajayucan","Infraestructura Carretera","2024","Pavimentación asfáltica de 2 tramos de la C.M. Chilcuautla - Alfajayucan en el municipio de Alfajayucan","Cerro Azul",8900829.86,"1","342"
"63","Alfajayucan","13006","Alfajayucan","Infraestructura Carretera","2023","Pavimentación asfáltica de camino El Madho municipio de Alfajayucan","Madho Corrales",3800517.73,"1","122"
"58","Alfajayucan","13006","Alfajayucan","Infraestructura Carretera","2025","Rehabilitación del camino Zundhó - Sifón - San Agustín en el municipio de Alfajayucan","Alfajayucan",14137493.01,"0","NA"
"61","Alfajayucan","13006","Alfajayucan","Infraestructura Hídrica","2022","Construcción de pozo profundo para agua potable de la localidad de Cebolletas Alfajayucan (Primera Etapa)","Cebolletas",3381883.09,"1","280"
"59","Alfajayucan","13006","Alfajayucan","Infraestructura Hídrica","2025","Puesta en marcha del canal de interconexión entre la Presa El Yathé y la Presa Vicente Aguirre en el municipio de Alfajayucan","Alfajayucan",18560000,"0","NA"
"57","Alfajayucan","13006","Alfajayucan","Infraestructura Hídrica","2024","Terminación de construcción del canal de interconexión en la presa el Yathé Alfajayucan","Alfajayucan",101069235.73,"0.65810000000000002","1794"
"65","Alfajayucan","13006","Alfajayucan","Infraestructura Hídrica","2025","Perforación del Pozo Profundo en la localidad de San Francisco Sacachichilco municipio de Alfajayucan Hgo. (Terminación).","San Francisco Sacachichilco",4100000,"0","801"
