"No.","Municipio_Original","CVEGEO","NOM_MUN","Rubro","Ejercicio","Obra","Localidad","Inversión","Avance","Habitantes beneficiados"
"328","Huazalingo","13026","Huazalingo","Infraestructura Carretera","2023","Construcción de puente vehicular Cuamontax municipio de Huazalingo.","Cuamontax",23832062.25,"1","609"
"333","Huazalingo","13026","Huazalingo","Infraestructura Carretera","2024","Rehabilitación de la C.E. Ramal a Tlamamala municipio de Huazalingo","Tlamamala",5794367.97,"0.85499999999999998","722"
"338","Huazalingo","13026","Huazalingo","Vivienda Asequible","2022","Construcción de Cuarto Dormitorio en el municipio de Huazalingo","Varias",3080084.47,"1","NA"
"330","Huazalingo","13026","Huazalingo","Infraestructura Carretera","2024","Construcción de muro de contención en la localidad de San Pedro en el municipio de Huazalingo.","Huazalingo",10091167.78,"0.35","770"
"325","Huazalingo","13026","Huazalingo","Infraestructura Carretera","2022","Construcción de Pavimentación hidráulica en la localidad de Chiatipan municipio de Huazalingo","Chiatipan",6475113.67,"1","1766"
"324","Huazalingo","13026","Huazalingo","Infraestructura Carretera","2024","Rehabilitación de la Pavimentación de concreto hidráulico del acceso a la localidad de Ixtlahuac municipio de Huazalingo."," Ixtlahuac",13459082.31,"0.5","349"
"336","Huazalingo","13026","Huazalingo","Infraestructura Carretera","2023","Rehabilitación del tramo Tzapotitla - Tlatzonco del km 0+000 al km 2+300 en el municipio de Huazalingo","Tzapotitla",1798990.51,"1","245"
"327","Huazalingo","13026","Huazalingo","Infraestructura Carretera","2024","Construcción de pavimentación de concreto hidráulico Camino Real a Tehuetlán municipio de Huazalingo.","Congreso",10000,"0.6","NA"
"335","Huazalingo","13026","Huazalingo","Infraestructura Carretera","2024","Construcción de pavimentación de C.R. Tlaltzonco a Tzapotitla del km. 0.469 al km 1.269 municipio de Huazalingo","Tlatzonco",8273548.61,"0.9265000000000001","574"
"337","Huazalingo","13026","Huazalingo","Infraestructura Hídrica","2022","Construcción de sanitario con biodigestor en el municipio de Huazalingo","Varias",2940289.92,"1","NA"
"326","Huazalingo","13026","Huazalingo","Infraestructura Carretera","2024","Rendimientos Financieros para la Construcción de pavimentación de concreto hidráulico Camino Real a Tehuetlán municipio de Huazalingo.","Congreso",10465728.9,"0.6","240"
"339","Huazalingo,San Felipe Orizatlan,Tepehuacan De Guerrero","NA","NA","Vivienda Asequible","2022","Construcción de 40 cuartos dormitorio en los municipios de San Felipe Orizatlán Tepehuacán de Guerrero y Huazalingo","Amola de OcampoBarr AyocoBarrio AllendeBarrio ArribaBarrio la PazBarrio PanteónChoquintla (San Nicolás Choquintla)Colonia CentroColonia Guillermo RossellColonia ParaísoEl CentroEl LlanoEl ParaísoQuinta Las Delicias",4463072.17,"1","NA"
"344","Huehuetla","13027","Huehuetla","Espacios Públicos","2023","Rehabilitación en azoteas fachadas y puertas del CRIRH sede Huehuetla.","Los Planes",920293.66,"1","16"
"345","Huehuetla","13027","Huehuetla","Infraestructura Carretera","2024","Construcción de muros de contención en la C.E. Huehuetla - San Ambrosio municipio de Huehuetla","San Ambrosio",1716294.18,"0.02","867"
"342","Huehuetla","13027","Huehuetla","Infraestructura Carretera","2023","Rehabilitación C.E. Santa María Temaxcalapa - Huehuetla Subtramo del km 5+900 al km 10+000 en el municipio de Huehuetla","Huehuetla",51159475.34,"1","NA"
"341","Huehuetla","13027","Huehuetla","Espacios Públicos","2023","Habilitación de infraestructura para el manejo integral de los residuos sólidos urbanos del municipio de Huehuetla","Huehuetla",2424231.92,"0.58700000000000008","6559"
"346","Huehuetla","13027","Huehuetla","Infraestructura Carretera","2025","Pavimentación de concreto hidráulico en camino San Gregorio - San Ambrosio en la localidad de San Ambrosio en el municipio de Huehuetla","San Ambrosio",40798440.04,"0","NA"
"343","Huehuetla","13027","Huehuetla","Infraestructura Carretera","2024","Rehabilitación de puente vehicular Mirasol en el municipio de Huehuetla.","Linda Vista I (Mirasol)",38720095,"0.26500000000000001","2993"
"340","Huehuetla","13027","Huehuetla","Vivienda Asequible","2023","Programa para la ampliación de  vivienda modalidad construcción de cuarto dormitorio en los municipios de Huehuetla","AcuautlaSan Antonio El Grande",1279635.52,"1","10"
"348","Huehuetla","13027","Huehuetla","Vivienda Asequible","2022","Construcción de Cuarto Dormitorio en el municipio de Huehuetla","Varias",3013545.5,"1","NA"
"347","Huehuetla","13027","Huehuetla","Infraestructura Hídrica","2022","Construcción de sanitario con biodigestor en el municipio de Huehuetla","Santa Inés",822540.07,"1","48"
"349","Huehuetla, Jaltocan, La Mision, San Felipe Orizatlan, Pacula Y Pisaflores","NA","NA","Infraestructura Hídrica","2022","Acciones de desinfección del agua: 379 filtro purificador microbiológico de agua para beber.","Varias",1626668,"1","NA"
"358","Huejutla De Reyes","13028","Huejutla de Reyes","Infraestructura Carretera","2023","Rehabilitación de carpeta asfáltica del tramo C.E. Chalahuiyapa - Los Otates del 0+000 al 3+800 en el municipio de Huejutla de Reyes","Chalahuiyapa",14575391.13,"1","1428"
"356","Huejutla De Reyes","13028","Huejutla de Reyes","Infraestructura Carretera","2024","Rehabilitación de puente vehicular en la carretera Cececapa a La Corrala en la localidad de Cececapa municipio de Huejutla de Reyes","Cececapa",13114679.28,"0.58200000000000007","913"
"357","Huejutla De Reyes","13028","Huejutla de Reyes","Infraestructura Carretera","2024","Rehabilitación del C.R. Tamalcuatitla - Apilol - Chalahuitzintla - Tlanepantla municipio de Huejutla de Reyes","Chalahuitzintla",2779379.89,"0.6","215"
"370","Huejutla De Reyes","13028","Huejutla de Reyes","Infraestructura Hídrica","2024","Estudio y proyecto para el encauzamiento y saneamiento del Río Chinguiñoso en el municipio de Huejutla de Reyes","Huejutla de Reyes",7737692.51,"0.248","NA"
"359","Huejutla De Reyes","13028","Huejutla de Reyes","Infraestructura Carretera","2024","Estudio y proyecto para la solución en el crucero sobre la C.F. Pachuca - Tampico hacia el Boulevard Chalahuiyapa en el municipio de Huejutla de Reyes.","Chalahuiyapa",4308296.43,"0.93700000000000006","0"
"360","Huejutla De Reyes","13028","Huejutla de Reyes","Infraestructura Carretera","2022","Reconstrucción de la carretera estatal E.C.F. Pachuca - Tempoal - San José - Coacuilco municipio de Huejutla de Reyes","Coacuilco",20896857.14,"1","3369"
"361","Huejutla De Reyes","13028","Huejutla de Reyes","Infraestructura Carretera","2024","Rehabilitación de la carretera de Mazaquilico a Coacuilco municipio de Huejutla de Reyes","Coacuilco",13351754.18,"0.63","3369"
"374","Huejutla De Reyes","13028","Huejutla de Reyes","Infraestructura Carretera","2024","Reconstrucción de superficie de rodamiento del puente El Aguacate municipio de Huejutla de Reyes","Los Parajes",3369621.53,"0.54449999999999998","413"
"371","Huejutla De Reyes","13028","Huejutla de Reyes","Infraestructura Carretera","2024","Rehabilitación de la carretera Pachuca a Tempoal paso por Huejutla municipio de Huejutla de Reyes","Huejutla de Reyes",16051741.62,"0.65","NA"
"372","Huejutla De Reyes","13028","Huejutla de Reyes","Infraestructura Carretera","2024","Rehabilitación de camino E.C. de Tehuetlán a Huejutla a Ixcatépec del Km 0.000 al Km 6.000 en el municipio de Huejutla de Reyes.","Ixcatépec",9398436.7,"0.52149999999999996","3579"
"369","Huejutla De Reyes","13028","Huejutla de Reyes","Espacios Públicos","2024","Construcción del nuevo Centro Gerontológico Integral de Huejutla de Reyes.","Huejutla de Reyes",2427504.98,"0.36","44311"
"383","Huejutla De Reyes","13028","Huejutla de Reyes","Infraestructura Carretera","2023","Mejoramiento de camino Huehuetla - Tilcalco - Las Nueces municipio de Huejutla de Reyes","Tilcalco",1674376.62,"1","642"
"384","Huejutla De Reyes","13028","Huejutla de Reyes","Infraestructura Carretera","2023","Mejoramiento del camino entronque carretero (Pachuca - Huejutla) - Tlalnepanco municipio de Huejutla de Reyes","Tlalnepanco",2924919.21,"1","526"
"385","Huejutla De Reyes","13028","Huejutla de Reyes","Infraestructura Hídrica","2024","Construcción de sanitario con biodigestor en el municipio de Huejutla de Reyes","Varias",1567739.63,"1","NA"
"373","Huejutla De Reyes","13028","Huejutla de Reyes","Infraestructura Carretera","2022","Reconstrucción de la carretera estatal Santa Cruz - Huichapa - La Corrala municipio de Huejutla de Reyes","La Corrala",23331061.06,"1","542"
"387","Huejutla De Reyes","13028","Huejutla de Reyes","Infraestructura Carretera","2023","Rehabilitación del tramo E.C. (Atlapexco-Huautla) - Xionaxtla del km 0+000 al km 3+000 en el municipio de Huejutla.","Xionaxtla",2746119.76,"1","174"
"388","Huejutla De Reyes","13028","Huejutla de Reyes","Infraestructura Carretera","2024","Reconstrucción de C.E. Xiquila - Huejutla municipio de Huejutla de Reyes","Xiquila",8475834.44,"1.0500000000000001E-2","2051"
"353","Huejutla De Reyes","13028","Huejutla de Reyes","Infraestructura Carretera","2023","Construye tu camino del tramo Santa Clara - Axcaco en el municipio de Huejutla de Reyes.","Axcaco",7239786.11,"0.9","1167"
"386","Huejutla De Reyes","13028","Huejutla de Reyes","Infraestructura Carretera","2024","Reconstrucción de la C.E. Libramiento Sur Huejutla - (E.C. Pachuca - Tempoal) municipio de Huejutla de Reyes","Xiloco",7747264,"0.41299999999999998","235"
"351","Huejutla De Reyes","13028","Huejutla de Reyes","Infraestructura Carretera","2023","Construcción de pavimento de concreto hidráulico en camino Xiloco - Macuxtepetla en tramo 1 del km 0+000 al km 0+883.85 y tramo del km 0+000 al km 0+530.60 municipio de Huejutla de Reyes","Ahuatitla I",12400149.33,"0.99709999999999999","892"
"352","Huejutla De Reyes","13028","Huejutla de Reyes","Infraestructura Carretera","2023","Rehabilitación del tramo Huehuetla - Atappa - Octatitla del km 0+000 al km 2+500 en el municipio de Huejutla de Reyes.","Atappa",1982986.39,"1","303"
"382","Huejutla De Reyes","13028","Huejutla de Reyes","Infraestructura Carretera","2023","Rehabilitación del tramo: Tetzahapa I-Temaxcaltitla-Coamila del km cero al cinco punto cinco en el municipio de Huejutla de Reyes.","Tetzahapa I",4309144.15,"1","842"
"354","Huejutla De Reyes","13028","Huejutla de Reyes","Infraestructura Carretera","2024","Construye Tu Camino del tramo Santa Clara a Axcaco en el municipio de Huejutla de Reyes","Axcaco
La Mesa de Axcaco",3722586.38,"0.32","NA"
"367","Huejutla De Reyes","13028","Huejutla de Reyes","Espacios Públicos","2022","Casa de la Cultura Huasteca","Huejutla de Reyes",15393431.83,"1","44311"
"355","Huejutla De Reyes","13028","Huejutla de Reyes","Infraestructura Carretera","2022","Construcción de Pavimento Asfáltico del camino rural Otates - Cacateco municipio de Huejutla de Reyes","Cacateco",13538926.8,"1","1687"
"364","Huejutla De Reyes","13028","Huejutla de Reyes","Espacios Públicos","2023","Rehabilitación de fachadas cancelería barda y policarbonato del CRIRH sede Huejutla de Reyes","Huejutla de Reyes",788409.27,"1","NA"
"378","Huejutla De Reyes","13028","Huejutla de Reyes","Infraestructura Carretera","2023","Rehabilitación del tramo Pahuatzintla - Nepalapa del km 0+000 al km 2+000 en el municipio de Huejutla de Reyes","Pahuatzintla",1567938.72,"1","155"
"362","Huejutla De Reyes","13028","Huejutla de Reyes","Vivienda Asequible","2023","Programa para la ampliación de  vivienda modalidad construcción de cuarto dormitorio en el municipio de Huejutla de Reyes","Coyoltzintla",1279684.89,"1","10"
"350","Huejutla De Reyes","13028","Huejutla de Reyes","Infraestructura Carretera","2024","Rehabilitación de puente vado Achichípil en la localidad de Achichípil municipio de Huejutla de Reyes","Achichípil",14335853.28,"0.67","196"
"368","Huejutla De Reyes","13028","Huejutla de Reyes","Espacios Públicos","2022","Mejoramiento de la Base de Operaciones de Huejutla Hgo. de la Secretaría de Seguridad Pública","Huejutla de Reyes",1193988.08,"1","NA"
"381","Huejutla De Reyes","13028","Huejutla de Reyes","Infraestructura Carretera","2024","Reconstrucción de muro de contención en la C.E. Huejutla - Macuxtepetla municipio de Huejutla de Reyes","Tepexititla",3748852.67,"0.93","1203"
"366","Huejutla De Reyes","13028","Huejutla de Reyes","Espacios Públicos","2023","Fortalecimiento para la Atención de Niñas Niños y Adolescentes Migrantes en el Municipio de Huejutla de Reyes Estado de Hidalgo para la construcción del Albergue para niñez y adolescencia Migrante Acompañada y no Acompañada","Huejutla de Reyes",67722440,"0.99890000000000001","NA"
"380","Huejutla De Reyes","13028","Huejutla de Reyes","Infraestructura Carretera","2023","Rehabilitación del tramo Tamalcuatitla - Tepehica del km 0+000 al km 3+000 en el municipio de Huejutla de Reyes.","Tamalcuatitla",2352833.32,"1","155"
"363","Huejutla De Reyes","13028","Huejutla de Reyes","Infraestructura Carretera","2023","Pavimentación asfáltica del Camino Cruztitla municipio de Huejutla de Reyes.","Cruztitla",8668792.28,"1","542"
"377","Huejutla De Reyes","13028","Huejutla de Reyes","Infraestructura Carretera","2024","Construcción de pavimentación de concreto hidráulico en acceso a la localidad de Pahuatlán en el municipio de Huejutla de Reyes.","Pahuatlán",12020495.87,"0.96799999999999997","2246"
"375","Huejutla De Reyes","13028","Huejutla de Reyes","Infraestructura Carretera","2023","Modernización del camino rural los Parajes - Chalahuiyapa en el municipio de Huejutla de Reyes.","Los Parajes Benito Juárez",9757411.25,"0.997","11084"
"365","Huejutla De Reyes","13028","Huejutla de Reyes","Espacios Públicos","2023","Rehabilitación de Centro Gerontológico Integral de Huejutla.","Huejutla de Reyes",790324.82,"0","44311"
"379","Huejutla De Reyes","13028","Huejutla de Reyes","Infraestructura Carretera","2024","Rehabilitación de la carretera Huejutla a Santa Cruz municipio de Huejutla de Reyes","Santa Cruz",32569520.47,"0.5605","1573"
"376","Huejutla De Reyes","13028","Huejutla de Reyes","Infraestructura Carretera","2024","Construcción de pavimentación hidráulica del Camino Rural los Parajes a Chalahuiyapa segunda etapa en el municipio de Huejutla de Reyes.","Los Parajes Benito Juárez",9689109.94,"0.74150000000000005","297"
"396","Huichapan","13029","Huichapan","Vivienda Asequible","2022","Construcción de Cuarto Dormitorio en el municipio de Huichapan","Varias",1334325.77,"1","NA"
"392","Huichapan","13029","Huichapan","Infraestructura Carretera","2023","Reconstrucción de la C.E. Saucillo - Nopala en el municipio de Huichapan.","Huichapan",19355489.37,"1","9853"
"391","Huichapan","13029","Huichapan","Infraestructura Hídrica","2024","Construcción de sistema de alcantarillado sanitario y PTAR en Dongoteay. (Terminación)","Dongoteay",6713093.43,"1","866"
"390","Huichapan","13029","Huichapan","Infraestructura Hídrica","2022","Construcción de sistema de alcantarillado sanitario y PTAR en Dongoteay etapa dos de cuatro","Dongoteay",3918165.88,"1","866"
"393","Huichapan","13029","Huichapan","Infraestructura Carretera","2024","Reconstrucción de la C.E. E.C.F. 45 Portezuelo - Palmillas a Tecozautla en el municipio de Huichapan","Huichapan",46599999.89,"1","9853"
"389","Huichapan","13029","Huichapan","Infraestructura Hídrica","2023","Construcción de sistema de alcantarillado sanitario y PTAR en Dongoteay etapa tres de cuatro Huichapan","Dongoteay",3176175.03,"1","866"
"395","Huichapan","13029","Huichapan","Infraestructura Carretera","2023","Reconstrucción de la carretera Huichapan - San José Atlán en el municipio de Huichapan.","San José Atlán",12168164.4,"1","13399"
"394","Huichapan","13029","Huichapan","Infraestructura Hídrica","2025","Perforación de pozo profundo para agua potable localidad de Jonacapa","Jonacapa",6161136.36,"0","1162"
"399","Ixmiquilpan","13030","Ixmiquilpan","Vivienda Asequible","2024","Construcción de cuartos dormitorios en el municipio de Ixmiquilpan","Bangandhó Capula La Huerta Capula  Nequeteje",1058251.2,"0","NA"
"411","Ixmiquilpan","13030","Ixmiquilpan","Vialidades Urbanas","2023","Construcción de pavimentación hidráulica en acceso principal en la localidad de El Manantial","El Manantial",3620538.69,"1","163"
"400","Ixmiquilpan","13030","Ixmiquilpan","Vialidades Urbanas","2022","Pavimentación asfáltica en Circuito Paredes municipio de Ixmiquilpan","Capula",1759117.17,"1","587"
"401","Ixmiquilpan","13030","Ixmiquilpan","Infraestructura Hídrica","2024","Reposición de Pozo Profundo de Agua Potable en la localidad de Cerritos Remedios.  (Perforación Exploratoria).","Cerritos",1492806.5056,"1","945"
"415","Ixmiquilpan","13030","Ixmiquilpan","Espacios Públicos","2023","Rehabilitación en azoteas y fachadas del CRIRH sede Ixmiquilpan","El Tephé",1207522.15,"1","1301"
"412","Ixmiquilpan","13030","Ixmiquilpan","Vialidades Urbanas","2025","Construcción de Pavimentación Hidraúlica (Varias Calles) en la localidad de El Mandho en el municpio de Ixmiquilpan","El Mandho",7350000,"0","NA"
"413","Ixmiquilpan","13030","Ixmiquilpan","Infraestructura Carretera","2023","Rehabilitación de carretera Ixmiquilpan - Capula tramo del Km 0+400 al Km 2+100 en barrios San Miguel y El Nith en el municipio de Ixmiquilpan","El Nith",4558957.98,"1","4013"
"398","Ixmiquilpan","13030","Ixmiquilpan","Vialidades Urbanas","2023","Pavimentación asfáltica de la calle 20 de Noviembre en la localidad de Bangandhó municipio de Ixmiquilpan","Bangandhó",3148752.06,"1","895"
"397","Ixmiquilpan","13030","Ixmiquilpan","Vivienda Asequible","2023","Programa para la ampliación de  vivienda modalidad construcción de cuarto dormitorio en los municipios de Ixmiquilpan y Chilcuautla","ÁlamoIxmiquilpanLas Emes",2064509.87,"1","NA"
"424","Ixmiquilpan","13030","Ixmiquilpan","Espacios Públicos","2024","Rehabilitación de la Unidad Deportiva de Ixmiquilpan.","Ixmiquilpan",26632876.95,"0.16250000000000001","NA"
"425","Ixmiquilpan","13030","Ixmiquilpan","Espacios Públicos","2024","Remodelación de parque beneficiando a la localidad de Ixmiquilpan municipio de Ixmiquilpan","Ixmiquilpan",1403687.94,"0.86419999999999997","NA"
"402","Ixmiquilpan","13030","Ixmiquilpan","Vivienda Asequible","2023","Construcción de 36 cuartos dormitorio en el municipio de Ixmiquilpan y Santiago de Anaya","CerritosEl AlbertoEl BarridoEl DuraznoEl MandhoIxmiquilpanLa EstaciónLa LomaParedes",4606395.38,"1","NA"
"427","Ixmiquilpan","13030","Ixmiquilpan","Espacios Públicos","2024","Remodelación de las Instalaciones de la Estación de Radio y Televisión XHCPDX 96.5 FM en el municipio de Ixmiquilpan","Ixmiquilpan",3145032.54,"0.4788","NA"
"428","Ixmiquilpan","13030","Ixmiquilpan","Espacios Públicos","2023","Construcción de centro comunitario de la localidad La Estación municipio de Ixmiquilpan Hidalgo.","La Estación",4745448.52,"1","620"
"429","Ixmiquilpan","13030","Ixmiquilpan","Infraestructura Carretera","2023","Pavimentación asfáltica del Libramiento Oriente - La Loma de La Cruz- Universidad municipio de Ixmiquilpan (segunda etapa)","La Loma de la Cruz",10498827.5,"1","827"
"414","Ixmiquilpan","13030","Ixmiquilpan","Infraestructura Hídrica","2023","Terminación de Pozo El Olivo","El Olivo",3639213.79,"1","385"
"435","Ixmiquilpan","13030","Ixmiquilpan","Vivienda Asequible","2022","Construcción de cuarto dormitorio en el municipio de Ixmiquilpan","Maguey Blanco",1427438.31,"1","NA"
"410","Ixmiquilpan","13030","Ixmiquilpan","Infraestructura Carretera","2025","Reconstrucción de Camino “El Durazno-Los Martínez-La Palma-El DexthÍ” del Km 1+000 al Km 2+500 en la localidad de El Durazno en el municipio de Ixmiquilpan","El Durazno",13527998.56,"0","NA"
"437","Ixmiquilpan","13030","Ixmiquilpan","Infraestructura Hídrica","2023","Ampliación de la Red de Distribución de Agua Potable Nequeteje","Nequeteje",11636890.37,"1","564"
"426","Ixmiquilpan","13030","Ixmiquilpan","Espacios Públicos","2024","Estudio y proyecto para la reconstrucción del auditorio de la unidad deportiva del municipio de Ixmiquilpan.","Ixmiquilpan",3993649.59,"0.52139999999999997","NA"
"439","Ixmiquilpan","13030","Ixmiquilpan","Vialidades Urbanas","2024","Construcción de pavimentación asfáltica en calle Jacarandas localidad El Nith en el municipio de Ixmiquilpan.","Nith",2765966.29,"0.54280000000000006","NA"
"440","Ixmiquilpan","13030","Ixmiquilpan","Infraestructura Hídrica","2023","Construcción de tomas domiciliarias del sistema de agua potable en Panales Ixmiquilpan.","Panales",3959594,"1","3742"
"441","Ixmiquilpan","13030","Ixmiquilpan","Infraestructura Hídrica","2022","Construcción de sistema de agua potable en Panales Ixmiquilpan etapa tres de diez","Panales",4455445.46,"1","3742"
"438","Ixmiquilpan","13030","Ixmiquilpan","Vialidades Urbanas","2024","Construcción de pavimentación de concreto hidráulico de Calle Nezahualcóyotl en la localidad del Nith en el municipio de Ixmiquilpan.","Nith",755678.74,"1","1763"
"403","Ixmiquilpan","13030","Ixmiquilpan","Infraestructura Hídrica","2022","Construcción de tanque elevado y equipamiento de pozo del sistema de distribución de agua potable en la localidad de Cerro Blanco municipio de Ixmiquilpan","Cerro Blanco",1764812.03,"1","133"
"404","Ixmiquilpan","13030","Ixmiquilpan","Infraestructura Hídrica","2023","Ampliación de la Red de agua potable e interconexión a la red de CFE de paneles solares en la localidad de Cuesta Colorada en el municipio de Ixmiquilpan","Cuesta Colorada",4842207.43,"1","474"
"432","Ixmiquilpan","13030","Ixmiquilpan","Infraestructura Hídrica","2024","Sustitución de la línea de conducción de tanque superficial en la localidad de La Palma San Juanico etapa uno de dos","La Palma
San Juanico",3031862.8,"1","NA"
"442","Ixmiquilpan","13030","Ixmiquilpan","Infraestructura Hídrica","2024","Construcción de tomas domiciliarias del sistema de agua potable en Panales Etapa cinco de diez Ixmiquilpan.","Panales",4302762.12,"1","3742"
"434","Ixmiquilpan","13030","Ixmiquilpan","Infraestructura Hídrica","2022","Manejo sustentable del sistema de distribución de agua potable en la localidad de Maguey Blanco municipio de Ixmiquilpan","Maguey Blanco",2910037.63,"1","2314"
"408","Ixmiquilpan","13030","Ixmiquilpan","Vialidades Urbanas","2023","Pavimentación asfáltica en calle El Bhenu en la localidad de El Alberto municipio de Ixmiquilpan Hidalgo.","El Alberto",2510837.38,"1","767"
"409","Ixmiquilpan","13030","Ixmiquilpan","Infraestructura Hídrica","2024","Construcción de Sistema de Agua Potable en Ixmiquilpan Localidad El Dexthi San Juanico Etapa uno de dos","El Dexthi San Juanico",6315235.54,"1","541"
"450","Ixmiquilpan","13030","Ixmiquilpan","Espacios Públicos","2024","Construcción de Corredor Artesanal ubicado en el lugar conocido como Bajada de Pastores ejido de Maguey Blanco Municipio de Ixmiquilpan","Taxadho",986077.35,"0.65229999999999999","1639"
"451","Ixmiquilpan","13030","Ixmiquilpan","Infraestructura Hídrica","2024","Estudio y Proyecto de Red de alcantarillado Sanitario y Planta de tratamiento de Aguas Residuales en la localidad de El Taxtho","Taxthó",5585374.16,"0.41720000000000002","0"
"452","Ixmiquilpan","13030","Ixmiquilpan","Infraestructura Hídrica","2023","Red de agua potable El Mirador Jahuey y Huapilla Capula.","Varias",10624130.95,"1","NA"
"453","Ixmiquilpan","13030","Ixmiquilpan","Infraestructura Carretera","2023","Rehabilitación de la carretera paso por Ixmiquilpan.","Varias",27009792.9,"1","NA"
"454","Ixmiquilpan","13030","Ixmiquilpan","Vialidades Urbanas","2024","Construcción de pavimentación de concreto hidráulico de Calle Gladiolas Col. Loma de Oro en el municipio de Ixmiquilpan.","Varias",1584150.4,"0.92","NA"
"433","Ixmiquilpan","13030","Ixmiquilpan","Vialidades Urbanas","2023","Pavimentación asfáltica de la calle 15 de Septiembre en la localidad de Remedios Ixmiquilpan.","Los Remedios",2131291.33,"1","798"
"416","Ixmiquilpan","13030","Ixmiquilpan","Espacios Públicos","2023","Trabajos de Mantenimiento del Hospital General del Valle del Mezquital Ixmiquilpan Clues HGSSA001590 Municipio de Ixmiquilpan.","Ixmiquilpan",2158704,"1","NA"
"417","Ixmiquilpan","13030","Ixmiquilpan","Vialidades Urbanas","2023","Construcción de pavimentación asfáltica interconexión Los Pinos Panales - El Maye en el municipio de Ixmiquilpan","Ixmiquilpan",4844555.57,"1","37608"
"405","Ixmiquilpan","13030","Ixmiquilpan","Infraestructura Hídrica","2024","Construcción de obra de drenaje y obra complementaria del sistema de agua potable en Cuesta Colorada municipio de Ixmiquilpan.","Cuesta Colorada",494190.08,"0.46","474"
"423","Ixmiquilpan","13030","Ixmiquilpan","Vialidades Urbanas","2024","Construcción de pavimentación de concreto hidráulico Calle 16 de Enero B. San Miguel en el municipio de Ixmiquilpan.","Ixmiquilpan",1699107.4,"0.99950000000000006","NA"
"420","Ixmiquilpan","13030","Ixmiquilpan","Infraestructura Carretera","2024","Reconstrucción del acceso a la escuela secundaria libertadores de América en el municipio de Ixmiquilpan","Ixmiquilpan",807116.47,"1","NA"
"421","Ixmiquilpan","13030","Ixmiquilpan","Espacios Públicos","2024","Rehabilitación de CGI de Ixmiquilpan","Ixmiquilpan",1179860.35,"0.91349999999999998","37608"
"422","Ixmiquilpan","13030","Ixmiquilpan","Infraestructura Carretera","2024","Construcción de pavimentación hidráulica en Quinta Cerrada en el municipio de Ixmiquilpan.","Ixmiquilpan",517226.92,"0.995","NA"
"431","Ixmiquilpan","13030","Ixmiquilpan","Infraestructura Hídrica","2023","Construcción de Planta de Tratamiento de Aguas Residuales de 1.12 L.P.S. La Mesa y Loma Lopez Rayón Ixmiquilpan ","La Mesa y Loma Lopez Rayón",2624279.15,"1","NA"
"436","Ixmiquilpan","13030","Ixmiquilpan","Infraestructura Carretera","2025","Construccion de Huellas de Concreto Hidraulico en el Municipio de Ixmiquilpan en la Localidad de Maguey Blanco en Camino viejo de Manzana Centro 1 en el municpio de Ixmiquilpan","Maguey Blanco",8796019.63,"0","NA"
"445","Ixmiquilpan","13030","Ixmiquilpan","Infraestructura Carretera","2025","Pavimentación hidraulica a Jardín de las Flores en la localidad de Pueblo Nuevo en el municipio de Ixmiquilpan","Pueblo nuevo ",8200000,"0","NA"
"430","Ixmiquilpan","13030","Ixmiquilpan","Infraestructura Carretera","2023","Pavimentación asfáltica del Libramiento Oriente - La Loma de La Cruz - Universidad municipio de Ixmiquilpan","La Loma de la Cruz",2711790.63,"1","NA"
"447","Ixmiquilpan","13030","Ixmiquilpan","Infraestructura Carretera","2023","Modernización de camino Santa Ana-La Loma López Rayón y calle Cobre en Ixmiquilpan.","Santa Ana (Barrio de Progreso)",12053633.88,"1","445"
"419","Ixmiquilpan","13030","Ixmiquilpan","Vialidades Urbanas","2023","Rehabilitación de pavimento asfáltico en avenida Felipe Ángeles colonia Centro municipio de Ixmiquilpan","Ixmiquilpan",7556379.65,"1","NA"
"449","Ixmiquilpan","13030","Ixmiquilpan","Infraestructura Hídrica","2023","Construcción de sistema de agua potable Taxadho etapa cinco de cinco Ixmiquilpan","Taxadho",3163134.89,"1","1639"
"407","Ixmiquilpan","13030","Ixmiquilpan","Infraestructura Carretera","2024","Rehabilitación de pavimentación asfáltica de Circuito Dios Padre en el municipio de Ixmiquilpan.","Dios Padre",13684964.79,"0.52","2321"
"418","Ixmiquilpan","13030","Ixmiquilpan","Vialidades Urbanas","2023","Construcción de pavimento hidráulico en calles de la localidad de El Oro municipio de Ixmiquilpan","Ixmiquilpan",2160227.69,"1","NA"
"448","Ixmiquilpan","13030","Ixmiquilpan","Infraestructura Hídrica","2022","Construcción de sistema de agua potable Taxadho etapa cuatro de cinco","Taxadho",2958623.7,"1","1639"
"444","Ixmiquilpan","13030","Ixmiquilpan","Vialidades Urbanas","2023","Construcción de pavimentación asfáltica en el municipio de Ixmiquilpan en la localidad de Pueblo Nuevo en calle Principal","Pueblo Nuevo",2903285.92,"1","1560"
"443","Ixmiquilpan","13030","Ixmiquilpan","Infraestructura Hídrica","2025","Construcción de sistema de agua potable en Panales Etapa seis de diez Ixmiquilpan.","Panales",6600000,"0","3742"
"446","Ixmiquilpan","13030","Ixmiquilpan","Infraestructura Carretera","2023","Construye Tu Camino del tramo San Andrés - El Olivo en el municipio de Ixmiquilpan.","San Andrés Orizabita",5913139.89,"1","1600"
