"ID"	"No."	"NOM_MUN"	"Rubro"	"Ejercicio"	"Obra"	"Localidad"	"Habitantes beneficiados"	"Ejecutora"	"Trabajos"	"tiene_geo"
"1096_Tasquillo"	1096	"Tasquillo"	"Vivienda Asequible"	2022	"Construcción de cuarto dormitorio, en el municipio de Tasquillo"	"Varias"	NA	"DGCCE"	"Considera los trabajos de construcción de cuarto dormitorio en terreno del beneficiario."	TRUE
"11_Acaxochitlán"	11	"Acaxochitlán"	"Vivienda Asequible"	2024	"Construcción de cuartos dormitorios en el municipio de Acaxochitlán"	"La Boveda, San Mateo"	8	"CEVI"	"Considera los trabajos de construcción de cuarto dormitorio en terreno del beneficiario."	TRUE
"1100_Tecozautla"	1100	"Tecozautla"	"Vivienda Asequible"	2024	"Construcción de cuartos dormitorios en el municipio de Tecozautla"	"Bomanxotha, Gandho, Manguaní, Pañhé, Pared Blanca"	NA	"CEVI"	"Considera los trabajos de construcción de cuarto dormitorio en terreno del beneficiario."	TRUE
"1103_Tecozautla"	1103	"Tecozautla"	"Infraestructura Hídrica"	2023	"Reubicación y perforación de pozo de uso público urbano para abastecer a las comunidades de Guadalupe, Bajhí, El Palmar, San José del Desierto, municipio de Tecozautla"	"Guadalupe, Bajhí, El Palmar, San José del Desierto"	NA	"CEAA"	"Considera los trabajos para la rehabilitación y equipamiento de pozo en las localidades de  Guadalupe, Bajhí, El Palmar, San José del Desierto municipio de Tecozautla"	TRUE
"1109_Tecozautla"	1109	"Tecozautla"	"Infraestructura Carretera"	2023	"Reconstrucción del camino Gandhó - Rancho Viejo - El Geiser - La Salitrera - Uxdejhe (Estatal 101) del Km 0+000 Al Km 4+000, en el municipio Tecozautla."	"Varias"	NA	"DGOPI"	"Considera trabajos para la reconstrucción y/o conservación de Infraestructura Carretera en la localidad de Varias municipio de Tecozautla"	TRUE
"1110_Tenango de Doria"	1110	"Tenango de Doria"	"Vivienda Asequible"	2024	"Construcción de cuartos dormitorios en el municipio de Tenango de Doria"	"Agua Zarca, Cerro Chiquito, El Aguacate, El Dequeña, El Xuthi, Huasquilla, La Palizada, Linda Vista, Los Ahilares, San Isidro La Laguna, Santa María Temaxcalapa, Tenango De Doria"	NA	"CEVI"	"Considera los trabajos de construcción de cuarto dormitorio en terreno del beneficiario."	TRUE
"1113_Tenango de Doria"	1113	"Tenango de Doria"	"Infraestructura Carretera"	2023	"Reconstrucción de la C.E. Tenango de Doria al Desdavi."	"El Desdavi"	2785	"DGCCE"	"Considera trabajos para la reconstrucción y/o conservación de Infraestructura Carretera en la localidad de El Desdavi municipio de Tenango de Doria"	TRUE
"1126_Tenango de Doria"	1126	"Tenango de Doria"	"Infraestructura Carretera"	2022	"Reconstrucción carretera estatal Tenango de Doria - Huehuetla, subtramo: Santa María Temascalapa - Huehuetla tres tramos, municipios de Tenango de Doria y Huehuetla"	"Varias"	17202	"DGCCE"	"Considera trabajos para la reconstrucción y/o conservación de Infraestructura Carretera en la localidad de Varias municipio de Tenango de Doria"	TRUE
"1127_Tenango de Doria"	1127	"Tenango de Doria"	"Infraestructura Carretera"	2024	"Pavimentación de carpeta asfáltica C.M. San Nicolás - San Pablo El Grande, municipio de Tenango de Doria"	"Varias"	NA	"DGCCE"	"Considera los trabajos de la operación de escarificación, disgregado,  suministro y aplicación de riego de liga con emulsión asfáltica."	TRUE
"1140_Tepeapulco"	1140	"Tepeapulco"	"Vivienda Asequible"	2024	"Construcción de cuartos dormitorios en el municipio de Tepeapulco"	"Fray Bernardino De Sahagún (Ciudad Sahagún), Los Cides"	NA	"CEVI"	"Considera los trabajos de construcción de cuarto dormitorio en terreno del beneficiario."	TRUE
"1146_Tepeapulco"	1146	"Tepeapulco"	"Vivienda Asequible"	2023	"Programa para la ampliación de  vivienda modalidad construcción de cuarto dormitorio en los municipios de Tepeapulco, Tulancingo de Bravo  y Zapotlán"	"Acayuca,Fray Bernardino de Sahagén (Ciudad Sahagén),Los Reyes,San Pedro Huaquilpan,Santa Ana Hueytlalpan,Tepeapulco,Tulancingo,Zapotlán de Juárez"	NA	"CEVI"	"Modalidad ampliación de vivienda para la construcción de cuarto dormitorio en terreno del beneficiario."	TRUE
"1146_Tulancingo de Bravo"	1146	"Tulancingo de Bravo"	"Vivienda Asequible"	2023	"Programa para la ampliación de  vivienda modalidad construcción de cuarto dormitorio en los municipios de Tepeapulco, Tulancingo de Bravo  y Zapotlán"	"Acayuca,Fray Bernardino de Sahagén (Ciudad Sahagén),Los Reyes,San Pedro Huaquilpan,Santa Ana Hueytlalpan,Tepeapulco,Tulancingo,Zapotlán de Juárez"	NA	"CEVI"	"Modalidad ampliación de vivienda para la construcción de cuarto dormitorio en terreno del beneficiario."	TRUE
"1146_Zapotlán de Juárez"	1146	"Zapotlán de Juárez"	"Vivienda Asequible"	2023	"Programa para la ampliación de  vivienda modalidad construcción de cuarto dormitorio en los municipios de Tepeapulco, Tulancingo de Bravo  y Zapotlán"	"Acayuca,Fray Bernardino de Sahagén (Ciudad Sahagén),Los Reyes,San Pedro Huaquilpan,Santa Ana Hueytlalpan,Tepeapulco,Tulancingo,Zapotlán de Juárez"	NA	"CEVI"	"Modalidad ampliación de vivienda para la construcción de cuarto dormitorio en terreno del beneficiario."	TRUE
"1147_Tepehuacán de Guerrero"	1147	"Tepehuacán de Guerrero"	"Vivienda Asequible"	2024	"Construcción de cuartos dormitorios en el municipio de Tepehuacán de Guerrero"	"Acoyotla, Cahuazas De Morelos (Rancho Alegre), Chilijapa, San Andrés"	NA	"CEVI"	"Considera los trabajos de construcción de cuarto dormitorio en terreno del beneficiario."	TRUE
"1148_Tepehuacán de Guerrero"	1148	"Tepehuacán de Guerrero"	"Vivienda Asequible"	2023	"Construcción de 26 cuartos dormitorio en el municipio de Tepehuacán de Guerrero"	"Acoyotla,Chilijapa,Cuatolol,Teyahuala,Xilitla"	NA	"CEVI"	"Considera los trabajos de construcción de cuarto dormitorio en terreno del beneficiario."	TRUE
"1163_Tepehuacán de Guerrero"	1163	"Tepehuacán de Guerrero"	"Vivienda Asequible"	2022	"Construcción de Cuarto Dormitorio, en el municipio de Tepehuacán de Guerrero"	"Varias"	48	"DGCCE"	"Considera los trabajos de construcción de cuarto dormitorio en terreno del beneficiario."	TRUE
"1164_Tepehuacán de Guerrero"	1164	"Tepehuacán de Guerrero"	"Infraestructura Carretera"	2024	"Rehabilitación de camino de Zacualtipanito a Petlapixca, en el municipio de Tepehuacan de Guerrero."	"Varias"	NA	"DGOPI"	"Considera los trabajos de preliminares, revestimiento de camino en el municipio de Tepehuacán de Guerrero"	TRUE
"1165_Tepehuacán de Guerrero"	1165	"Tepehuacán de Guerrero"	"Infraestructura Carretera"	2024	"Reconstrucción de la C.E. Casetas Otongo, municipio de Tlanchinol."	"Varias"	NA	"DGOPI"	"Considera trabajos para la reconstrucción y/o conservación de Infraestructura Carretera en la localidad de Varias municipio de Tepehuacán de Guerrero"	TRUE
